model,source_region,target_region,action,adaptation,mae_2023_2025,n_test_stations,n_test_observations,action_fit_seconds,n_action_training_observations,source_training_seconds_sunk
graphwavenet_transfer,WCE,NEU,deploy,deploy,2.33958101272583,1000,1062558,0.0,0,142.56140950000554
graphwavenet_transfer,WCE,NEU,adapt,head_finetune,2.3280935287475586,1000,1062558,9.982311100000516,699,142.56140950000554
graphwavenet_transfer,WCE,NEU,retrain,retrain,2.3169517517089844,1000,1062558,119.71575510001276,2891,142.56140950000554
graphwavenet_transfer,WNA,NEU,deploy,deploy,2.3579089641571045,1000,1062558,0.0,0,189.67070129999775
graphwavenet_transfer,WNA,NEU,adapt,head_finetune,2.318936347961426,1000,1062558,9.989382200001273,699,189.67070129999775
graphwavenet_transfer,WNA,NEU,retrain,retrain,2.3169517517089844,1000,1062558,119.71575510001276,2891,189.67070129999775
graphwavenet_transfer,ENA,NEU,deploy,deploy,2.4085912704467773,1000,1062558,0.0,0,90.24955379999301
graphwavenet_transfer,ENA,NEU,adapt,head_finetune,2.343092203140259,1000,1062558,9.992143100011162,699,90.24955379999301
graphwavenet_transfer,ENA,NEU,retrain,retrain,2.3169517517089844,1000,1062558,119.71575510001276,2891,90.24955379999301
graphwavenet_transfer,CNA,NEU,deploy,deploy,2.421208381652832,1000,1062558,0.0,0,72.37994899999467
graphwavenet_transfer,CNA,NEU,adapt,head_finetune,2.3523495197296143,1000,1062558,9.989131000009365,699,72.37994899999467
graphwavenet_transfer,CNA,NEU,retrain,retrain,2.3169517517089844,1000,1062558,119.71575510001276,2891,72.37994899999467
graphwavenet_transfer,SAU,NEU,deploy,deploy,2.330089807510376,1000,1062558,0.0,0,56.65577630000189
graphwavenet_transfer,SAU,NEU,adapt,head_finetune,2.327200174331665,1000,1062558,9.987709400011227,699,56.65577630000189
graphwavenet_transfer,SAU,NEU,retrain,retrain,2.3169517517089844,1000,1062558,119.71575510001276,2891,56.65577630000189
graphwavenet_transfer,MED,NEU,deploy,deploy,2.331404209136963,1000,1062558,0.0,0,44.23583289999806
graphwavenet_transfer,MED,NEU,adapt,head_finetune,2.3228163719177246,1000,1062558,9.978444300009869,699,44.23583289999806
graphwavenet_transfer,MED,NEU,retrain,retrain,2.3169517517089844,1000,1062558,119.71575510001276,2891,44.23583289999806
graphwavenet_transfer,EAU,NEU,deploy,deploy,2.348450183868408,1000,1062558,0.0,0,35.01449030000367
graphwavenet_transfer,EAU,NEU,adapt,head_finetune,2.333616256713867,1000,1062558,9.978503100006492,699,35.01449030000367
graphwavenet_transfer,EAU,NEU,retrain,retrain,2.3169517517089844,1000,1062558,119.71575510001276,2891,35.01449030000367
graphwavenet_transfer,NWN,NEU,deploy,deploy,2.3663554191589355,1000,1062558,0.0,0,24.668718300003093
graphwavenet_transfer,NWN,NEU,adapt,head_finetune,2.326026439666748,1000,1062558,9.978725699998904,699,24.668718300003093
graphwavenet_transfer,NWN,NEU,retrain,retrain,2.3169517517089844,1000,1062558,119.71575510001276,2891,24.668718300003093
graphwavenet_transfer,NCA,NEU,deploy,deploy,2.4000186920166016,1000,1062558,0.0,0,17.059663000007276
graphwavenet_transfer,NCA,NEU,adapt,head_finetune,2.361870527267456,1000,1062558,9.981588800001191,699,17.059663000007276
graphwavenet_transfer,NCA,NEU,retrain,retrain,2.3169517517089844,1000,1062558,119.71575510001276,2891,17.059663000007276
graphwavenet_transfer,EAS,NEU,deploy,deploy,2.3519158363342285,1000,1062558,0.0,0,9.521896299993386
graphwavenet_transfer,EAS,NEU,adapt,head_finetune,2.33667254447937,1000,1062558,9.972073500000988,699,9.521896299993386
graphwavenet_transfer,EAS,NEU,retrain,retrain,2.3169517517089844,1000,1062558,119.71575510001276,2891,9.521896299993386
graphwavenet_transfer,NEU,WCE,deploy,deploy,2.2567195892333984,1000,1062605,0.0,0,119.71575510001276
graphwavenet_transfer,NEU,WCE,adapt,head_finetune,2.255997657775879,1000,1062605,9.96420699999726,699,119.71575510001276
graphwavenet_transfer,NEU,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,119.71575510001276
graphwavenet_transfer,WNA,WCE,deploy,deploy,2.3129007816314697,1000,1062605,0.0,0,189.67070129999775
graphwavenet_transfer,WNA,WCE,adapt,head_finetune,2.259079694747925,1000,1062605,9.96708599998965,699,189.67070129999775
graphwavenet_transfer,WNA,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,189.67070129999775
graphwavenet_transfer,ENA,WCE,deploy,deploy,2.310378313064575,1000,1062605,0.0,0,90.24955379999301
graphwavenet_transfer,ENA,WCE,adapt,head_finetune,2.277289628982544,1000,1062605,9.9667427999957,699,90.24955379999301
graphwavenet_transfer,ENA,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,90.24955379999301
graphwavenet_transfer,CNA,WCE,deploy,deploy,2.3202481269836426,1000,1062605,0.0,0,72.37994899999467
graphwavenet_transfer,CNA,WCE,adapt,head_finetune,2.2815229892730713,1000,1062605,9.96677830000408,699,72.37994899999467
graphwavenet_transfer,CNA,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,72.37994899999467
graphwavenet_transfer,SAU,WCE,deploy,deploy,2.260749340057373,1000,1062605,0.0,0,56.65577630000189
graphwavenet_transfer,SAU,WCE,adapt,head_finetune,2.260014533996582,1000,1062605,9.959097500002827,699,56.65577630000189
graphwavenet_transfer,SAU,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,56.65577630000189
graphwavenet_transfer,MED,WCE,deploy,deploy,2.2737972736358643,1000,1062605,0.0,0,44.23583289999806
graphwavenet_transfer,MED,WCE,adapt,head_finetune,2.2611632347106934,1000,1062605,9.971606599996448,699,44.23583289999806
graphwavenet_transfer,MED,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,44.23583289999806
graphwavenet_transfer,EAU,WCE,deploy,deploy,2.2842280864715576,1000,1062605,0.0,0,35.01449030000367
graphwavenet_transfer,EAU,WCE,adapt,head_finetune,2.2663662433624268,1000,1062605,9.973832799994852,699,35.01449030000367
graphwavenet_transfer,EAU,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,35.01449030000367
graphwavenet_transfer,NWN,WCE,deploy,deploy,2.319748640060425,1000,1062605,0.0,0,24.668718300003093
graphwavenet_transfer,NWN,WCE,adapt,head_finetune,2.2610418796539307,1000,1062605,9.969115999992937,699,24.668718300003093
graphwavenet_transfer,NWN,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,24.668718300003093
graphwavenet_transfer,NCA,WCE,deploy,deploy,2.30839204788208,1000,1062605,0.0,0,17.059663000007276
graphwavenet_transfer,NCA,WCE,adapt,head_finetune,2.2858164310455322,1000,1062605,9.978685499998392,699,17.059663000007276
graphwavenet_transfer,NCA,WCE,retrain,retrain,2.259613513946533,1000,1062605,142.56140950000554,2891,17.059663000007276
graphwavenet_transfer,EAS,WCE,deploy,deploy,2.281761646270752,1000,1062605,0.0,0,9.521896299993386
graphwavenet_transfer,EAS,WCE,adapt,head_finetune,2.2627737522125244,1000,1062605,9.973116200009827,699,9.521896299993386
