model,source_region,target_region,action,adaptation,mae_2023_2025,n_test_stations,n_test_observations,action_fit_seconds,n_action_training_observations,source_training_seconds_sunk
patchtst_small,WCE,NEU,deploy,deploy,2.361020088195801,1000,60000,0.0,0,7.73345369999879
patchtst_small,WCE,NEU,adapt,head_finetune,2.3478407859802246,1000,60000,2.4884856999997282,30000,7.73345369999879
patchtst_small,WCE,NEU,retrain,retrain,2.339433431625366,1000,60000,8.433484199995291,90000,7.73345369999879
patchtst_small,WNA,NEU,deploy,deploy,2.3613779544830322,1000,60000,0.0,0,7.678654000003007
patchtst_small,WNA,NEU,adapt,head_finetune,2.350696325302124,1000,60000,2.5272812000039266,30000,7.678654000003007
patchtst_small,WNA,NEU,retrain,retrain,2.339433431625366,1000,60000,8.433484199995291,90000,7.678654000003007
patchtst_small,ENA,NEU,deploy,deploy,2.4470443725585938,1000,60000,0.0,0,7.806862600002205
patchtst_small,ENA,NEU,adapt,head_finetune,2.3665170669555664,1000,60000,2.431175000005169,30000,7.806862600002205
patchtst_small,ENA,NEU,retrain,retrain,2.339433431625366,1000,60000,8.433484199995291,90000,7.806862600002205
patchtst_small,CNA,NEU,deploy,deploy,2.4768011569976807,1000,60000,0.0,0,7.69364769999811
patchtst_small,CNA,NEU,adapt,head_finetune,2.3785088062286377,1000,60000,5.782266900001559,30000,7.69364769999811
patchtst_small,CNA,NEU,retrain,retrain,2.339433431625366,1000,60000,8.433484199995291,90000,7.69364769999811
patchtst_small,SAU,NEU,deploy,deploy,2.3663148880004883,1000,60000,0.0,0,7.689114699998754
patchtst_small,SAU,NEU,adapt,head_finetune,2.352977991104126,1000,60000,7.62445220000518,30000,7.689114699998754
patchtst_small,SAU,NEU,retrain,retrain,2.339433431625366,1000,60000,8.433484199995291,90000,7.689114699998754
patchtst_small,MED,NEU,deploy,deploy,2.390352964401245,1000,60000,0.0,0,8.005214000004344
patchtst_small,MED,NEU,adapt,head_finetune,2.353426933288574,1000,60000,7.650207200000295,30000,8.005214000004344
patchtst_small,MED,NEU,retrain,retrain,2.339433431625366,1000,60000,8.433484199995291,90000,8.005214000004344
patchtst_small,EAU,NEU,deploy,deploy,2.3887341022491455,1000,60000,0.0,0,7.870186400003149
patchtst_small,EAU,NEU,adapt,head_finetune,2.3590028285980225,1000,60000,2.5429330000042683,30000,7.870186400003149
patchtst_small,EAU,NEU,retrain,retrain,2.339433431625366,1000,60000,8.433484199995291,90000,7.870186400003149
patchtst_small,NWN,NEU,deploy,deploy,2.344606637954712,1000,60000,0.0,0,7.93835319999198
