model,source_region,target_region,action,adaptation,mae_2023_2025,n_test_stations,n_test_observations,action_fit_seconds,n_action_training_observations,source_training_seconds_sunk
graphwavenet_transfer,NEU,CAU,deploy,deploy,0.7158637046813965,69,69842,0.0,0,118.24483009999676
graphwavenet_transfer,NEU,CAU,adapt,head_finetune,0.6984035968780518,69,69842,0.6374004000099376,699,118.24483009999676
graphwavenet_transfer,NEU,CAU,retrain,retrain,0.6977680325508118,69,69842,9.953618700004881,2891,118.24483009999676
graphwavenet_transfer,WCE,CAU,deploy,deploy,0.7084484100341797,69,69842,0.0,0,141.20906029999605
graphwavenet_transfer,WCE,CAU,adapt,head_finetune,0.6983569860458374,69,69842,0.6241563000075985,699,141.20906029999605
graphwavenet_transfer,WCE,CAU,retrain,retrain,0.6977680325508118,69,69842,9.953618700004881,2891,141.20906029999605
graphwavenet_transfer,WNA,CAU,deploy,deploy,0.7183259129524231,69,69842,0.0,0,188.17609439999796
graphwavenet_transfer,WNA,CAU,adapt,head_finetune,0.6977089643478394,69,69842,0.6134897000010824,699,188.17609439999796
graphwavenet_transfer,WNA,CAU,retrain,retrain,0.6977680325508118,69,69842,9.953618700004881,2891,188.17609439999796
graphwavenet_transfer,ENA,CAU,deploy,deploy,0.7875478267669678,69,69842,0.0,0,89.35471059998963
graphwavenet_transfer,ENA,CAU,adapt,head_finetune,0.6991992592811584,69,69842,0.6143717999948421,699,89.35471059998963
graphwavenet_transfer,ENA,CAU,retrain,retrain,0.6977680325508118,69,69842,9.953618700004881,2891,89.35471059998963
graphwavenet_transfer,CNA,CAU,deploy,deploy,0.7357295155525208,69,69842,0.0,0,71.54483650000475
graphwavenet_transfer,CNA,CAU,adapt,head_finetune,0.69963139295578,69,69842,0.6123942999984138,699,71.54483650000475
graphwavenet_transfer,CNA,CAU,retrain,retrain,0.6977680325508118,69,69842,9.953618700004881,2891,71.54483650000475
graphwavenet_transfer,SAU,CAU,deploy,deploy,0.7001906633377075,69,69842,0.0,0,55.967703099988285
graphwavenet_transfer,SAU,CAU,adapt,head_finetune,0.6973434686660767,69,69842,0.6127424999867799,699,55.967703099988285
graphwavenet_transfer,SAU,CAU,retrain,retrain,0.6977680325508118,69,69842,9.953618700004881,2891,55.967703099988285
graphwavenet_transfer,MED,CAU,deploy,deploy,0.7036815285682678,69,69842,0.0,0,43.49925560000702
graphwavenet_transfer,MED,CAU,adapt,head_finetune,0.6974651217460632,69,69842,0.6117083999997703,699,43.49925560000702
graphwavenet_transfer,MED,CAU,retrain,retrain,0.6977680325508118,69,69842,9.953618700004881,2891,43.49925560000702
graphwavenet_transfer,EAU,CAU,deploy,deploy,0.7049300670623779,69,69842,0.0,0,34.286816299994825
graphwavenet_transfer,EAU,CAU,adapt,head_finetune,0.6974976062774658,69,69842,0.625876000005519,699,34.286816299994825
graphwavenet_transfer,EAU,CAU,retrain,retrain,0.6977680325508118,69,69842,9.953618700004881,2891,34.286816299994825
graphwavenet_transfer,NWN,CAU,deploy,deploy,0.7343459725379944,69,69842,0.0,0,24.27802209999936
graphwavenet_transfer,NWN,CAU,adapt,head_finetune,0.6978843808174133,69,69842,0.6124817000090843,699,24.27802209999936
graphwavenet_transfer,NWN,CAU,retrain,retrain,0.6977680325508118,69,69842,9.953618700004881,2891,24.27802209999936
graphwavenet_transfer,NCA,CAU,deploy,deploy,0.7024547457695007,69,69842,0.0,0,16.824474899985944
graphwavenet_transfer,NCA,CAU,adapt,head_finetune,0.6981821060180664,69,69842,0.6125059000041801,699,16.824474899985944
graphwavenet_transfer,NCA,CAU,retrain,retrain,0.6977680325508118,69,69842,9.953618700004881,2891,16.824474899985944
graphwavenet_transfer,EAS,CAU,deploy,deploy,0.7091927528381348,69,69842,0.0,0,9.607173900003545
graphwavenet_transfer,EAS,CAU,adapt,head_finetune,0.697456955909729,69,69842,0.6149370000057388,699,9.607173900003545
graphwavenet_transfer,EAS,CAU,retrain,retrain,0.6977680325508118,69,69842,9.953618700004881,2891,9.607173900003545
graphwavenet_transfer,NEU,NAU,deploy,deploy,2.8665332794189453,58,58164,0.0,0,118.24483009999676
graphwavenet_transfer,NEU,NAU,adapt,head_finetune,2.8307926654815674,58,58164,0.633154299997841,699,118.24483009999676
graphwavenet_transfer,NEU,NAU,retrain,retrain,2.7950186729431152,58,58164,11.63116999999329,2891,118.24483009999676
graphwavenet_transfer,WCE,NAU,deploy,deploy,2.906066656112671,58,58164,0.0,0,141.20906029999605
graphwavenet_transfer,WCE,NAU,adapt,head_finetune,2.8408548831939697,58,58164,0.630603900004644,699,141.20906029999605
graphwavenet_transfer,WCE,NAU,retrain,retrain,2.7950186729431152,58,58164,11.63116999999329,2891,141.20906029999605
graphwavenet_transfer,WNA,NAU,deploy,deploy,2.8428797721862793,58,58164,0.0,0,188.17609439999796
graphwavenet_transfer,WNA,NAU,adapt,head_finetune,2.836167097091675,58,58164,0.6371636999974726,699,188.17609439999796
graphwavenet_transfer,WNA,NAU,retrain,retrain,2.7950186729431152,58,58164,11.63116999999329,2891,188.17609439999796
graphwavenet_transfer,ENA,NAU,deploy,deploy,2.9878292083740234,58,58164,0.0,0,89.35471059998963
graphwavenet_transfer,ENA,NAU,adapt,head_finetune,2.9268171787261963,58,58164,0.6251597999944352,699,89.35471059998963
graphwavenet_transfer,ENA,NAU,retrain,retrain,2.7950186729431152,58,58164,11.63116999999329,2891,89.35471059998963
graphwavenet_transfer,CNA,NAU,deploy,deploy,2.9562342166900635,58,58164,0.0,0,71.54483650000475
graphwavenet_transfer,CNA,NAU,adapt,head_finetune,2.907869338989258,58,58164,0.6260877000022447,699,71.54483650000475
graphwavenet_transfer,CNA,NAU,retrain,retrain,2.7950186729431152,58,58164,11.63116999999329,2891,71.54483650000475
graphwavenet_transfer,SAU,NAU,deploy,deploy,2.8728079795837402,58,58164,0.0,0,55.967703099988285
graphwavenet_transfer,SAU,NAU,adapt,head_finetune,2.831453323364258,58,58164,0.6232064999931026,699,55.967703099988285
graphwavenet_transfer,SAU,NAU,retrain,retrain,2.7950186729431152,58,58164,11.63116999999329,2891,55.967703099988285
graphwavenet_transfer,MED,NAU,deploy,deploy,2.85602068901062,58,58164,0.0,0,43.49925560000702
graphwavenet_transfer,MED,NAU,adapt,head_finetune,2.818305015563965,58,58164,0.6324274000071455,699,43.49925560000702
graphwavenet_transfer,MED,NAU,retrain,retrain,2.7950186729431152,58,58164,11.63116999999329,2891,43.49925560000702
graphwavenet_transfer,EAU,NAU,deploy,deploy,2.8626601696014404,58,58164,0.0,0,34.286816299994825
graphwavenet_transfer,EAU,NAU,adapt,head_finetune,2.8288705348968506,58,58164,0.6352525999973295,699,34.286816299994825
graphwavenet_transfer,EAU,NAU,retrain,retrain,2.7950186729431152,58,58164,11.63116999999329,2891,34.286816299994825
graphwavenet_transfer,NWN,NAU,deploy,deploy,2.8994431495666504,58,58164,0.0,0,24.27802209999936
graphwavenet_transfer,NWN,NAU,adapt,head_finetune,2.85752010345459,58,58164,0.6282674000103725,699,24.27802209999936
graphwavenet_transfer,NWN,NAU,retrain,retrain,2.7950186729431152,58,58164,11.63116999999329,2891,24.27802209999936
graphwavenet_transfer,NCA,NAU,deploy,deploy,2.8809890747070312,58,58164,0.0,0,16.824474899985944
graphwavenet_transfer,NCA,NAU,adapt,head_finetune,2.8576602935791016,58,58164,0.6365167000039946,699,16.824474899985944
graphwavenet_transfer,NCA,NAU,retrain,retrain,2.7950186729431152,58,58164,11.63116999999329,2891,16.824474899985944
graphwavenet_transfer,EAS,NAU,deploy,deploy,2.8590285778045654,58,58164,0.0,0,9.607173900003545
graphwavenet_transfer,EAS,NAU,adapt,head_finetune,2.8376047611236572,58,58164,0.6295162000023993,699,9.607173900003545
graphwavenet_transfer,EAS,NAU,retrain,retrain,2.7950186729431152,58,58164,11.63116999999329,2891,9.607173900003545
graphwavenet_transfer,NEU,NEN,deploy,deploy,1.307256817817688,51,50774,0.0,0,118.24483009999676
graphwavenet_transfer,NEU,NEN,adapt,head_finetune,1.2939999103546143,51,50774,0.6238874999980908,699,118.24483009999676
graphwavenet_transfer,NEU,NEN,retrain,retrain,1.2850440740585327,51,50774,11.463744299995597,2891,118.24483009999676
graphwavenet_transfer,WCE,NEN,deploy,deploy,1.2977381944656372,51,50774,0.0,0,141.20906029999605
graphwavenet_transfer,WCE,NEN,adapt,head_finetune,1.2930798530578613,51,50774,0.6212481000111438,699,141.20906029999605
graphwavenet_transfer,WCE,NEN,retrain,retrain,1.2850440740585327,51,50774,11.463744299995597,2891,141.20906029999605
graphwavenet_transfer,WNA,NEN,deploy,deploy,1.3071683645248413,51,50774,0.0,0,188.17609439999796
graphwavenet_transfer,WNA,NEN,adapt,head_finetune,1.291832685470581,51,50774,0.6306196999939857,699,188.17609439999796
graphwavenet_transfer,WNA,NEN,retrain,retrain,1.2850440740585327,51,50774,11.463744299995597,2891,188.17609439999796
graphwavenet_transfer,ENA,NEN,deploy,deploy,1.3386964797973633,51,50774,0.0,0,89.35471059998963
graphwavenet_transfer,ENA,NEN,adapt,head_finetune,1.2953991889953613,51,50774,0.6272107000113465,699,89.35471059998963
graphwavenet_transfer,ENA,NEN,retrain,retrain,1.2850440740585327,51,50774,11.463744299995597,2891,89.35471059998963
graphwavenet_transfer,CNA,NEN,deploy,deploy,1.3243160247802734,51,50774,0.0,0,71.54483650000475
graphwavenet_transfer,CNA,NEN,adapt,head_finetune,1.29482901096344,51,50774,0.6348625000100583,699,71.54483650000475
graphwavenet_transfer,CNA,NEN,retrain,retrain,1.2850440740585327,51,50774,11.463744299995597,2891,71.54483650000475
graphwavenet_transfer,SAU,NEN,deploy,deploy,1.292215347290039,51,50774,0.0,0,55.967703099988285
graphwavenet_transfer,SAU,NEN,adapt,head_finetune,1.2919248342514038,51,50774,0.6305467000056524,699,55.967703099988285
graphwavenet_transfer,SAU,NEN,retrain,retrain,1.2850440740585327,51,50774,11.463744299995597,2891,55.967703099988285
graphwavenet_transfer,MED,NEN,deploy,deploy,1.293495774269104,51,50774,0.0,0,43.49925560000702
graphwavenet_transfer,MED,NEN,adapt,head_finetune,1.2903587818145752,51,50774,0.6294582999980776,699,43.49925560000702
graphwavenet_transfer,MED,NEN,retrain,retrain,1.2850440740585327,51,50774,11.463744299995597,2891,43.49925560000702
