model,source_region,target_region,action,mae_2023_2025,n_test_stations,n_test_observations,action_fit_seconds,n_action_training_observations,adapt_intercept_log1p,adapt_slope_log1p,source_training_seconds_sunk
spatial_knn_ridge,NEU,CAU,deploy,1.1353658601857615,69,71830,0.0,0,,,0.5042620000021998
spatial_knn_ridge,NEU,CAU,adapt,0.8009765847869541,69,71830,0.0017654999974183738,60000,-0.2713640332221985,0.9336485862731934,0.5042620000021998
spatial_knn_ridge,NEU,CAU,retrain,0.8067429614239845,69,71830,0.194487200002186,120000,,,0.5042620000021998
spatial_knn_ridge,NEU,NAU,deploy,3.3467914873156053,58,59757,0.0,0,,,0.5042620000021998
spatial_knn_ridge,NEU,NAU,adapt,3.1061816133301834,58,59757,0.0016531000001123175,60000,-0.5576438903808594,1.7119804620742798,0.5042620000021998
spatial_knn_ridge,NEU,NAU,retrain,3.1210075431856614,58,59757,0.1680616999947233,120000,,,0.5042620000021998
spatial_knn_ridge,NEU,NEN,deploy,1.5562639365009232,51,52262,0.0,0,,,0.5042620000021998
spatial_knn_ridge,NEU,NEN,adapt,1.4371833988264495,51,52262,0.0014609000063501298,53448,-0.12499818205833435,0.974406898021698,0.5042620000021998
spatial_knn_ridge,NEU,NEN,retrain,1.438316143026539,51,52262,0.16840770000999328,120000,,,0.5042620000021998
spatial_knn_ridge,NEU,ESB,deploy,1.4715887552652605,39,34528,0.0,0,,,0.5042620000021998
spatial_knn_ridge,NEU,ESB,adapt,1.361883560816447,39,34528,0.0014091000048210844,42659,-0.21589311957359314,1.1092331409454346,0.5042620000021998
spatial_knn_ridge,NEU,ESB,retrain,1.3608544224347823,39,34528,0.12461139999504667,113888,,,0.5042620000021998
spatial_knn_ridge,NEU,RFE,deploy,1.8622955792659037,37,32342,0.0,0,,,0.5042620000021998
spatial_knn_ridge,NEU,RFE,adapt,1.7659621850864307,37,32342,0.0009888000058708712,40382,-0.2932797372341156,1.2984601259231567,0.5042620000021998
spatial_knn_ridge,NEU,RFE,retrain,1.7558173118410885,37,32342,0.11521530000027269,107411,,,0.5042620000021998
spatial_knn_ridge,WCE,CAU,deploy,1.1245507511539736,69,71830,0.0,0,,,0.48872520000441
spatial_knn_ridge,WCE,CAU,adapt,0.8013204914936121,69,71830,0.0016872999985935166,60000,-0.32603803277015686,1.074518084526062,0.48872520000441
spatial_knn_ridge,WCE,CAU,retrain,0.8067429614239845,69,71830,0.194487200002186,120000,,,0.48872520000441
spatial_knn_ridge,WCE,NAU,deploy,3.353302431517634,58,59757,0.0,0,,,0.48872520000441
spatial_knn_ridge,WCE,NAU,adapt,3.106842893978645,58,59757,0.0016208000015467405,60000,-0.6821657419204712,2.0190937519073486,0.48872520000441
spatial_knn_ridge,WCE,NAU,retrain,3.1210075431856614,58,59757,0.1680616999947233,120000,,,0.48872520000441
spatial_knn_ridge,WCE,NEN,deploy,1.5409422154520072,51,52262,0.0,0,,,0.48872520000441
spatial_knn_ridge,WCE,NEN,adapt,1.4376904999508577,51,52262,0.001554500006022863,53448,-0.1815662682056427,1.1156494617462158,0.48872520000441
spatial_knn_ridge,WCE,NEN,retrain,1.438316143026539,51,52262,0.16840770000999328,120000,,,0.48872520000441
spatial_knn_ridge,WCE,ESB,deploy,1.4574492757137005,39,34528,0.0,0,,,0.48872520000441
spatial_knn_ridge,WCE,ESB,adapt,1.3615076862848723,39,34528,0.0012886000040452927,42659,-0.27254340052604675,1.2532724142074585,0.48872520000441
spatial_knn_ridge,WCE,ESB,retrain,1.3608544224347823,39,34528,0.12461139999504667,113888,,,0.48872520000441
spatial_knn_ridge,WCE,RFE,deploy,1.8490165117624644,37,32342,0.0,0,,,0.48872520000441
spatial_knn_ridge,WCE,RFE,adapt,1.76513056980597,37,32342,0.0009727999859023839,40382,-0.3701072037220001,1.488698124885559,0.48872520000441
spatial_knn_ridge,WCE,RFE,retrain,1.7558173118410885,37,32342,0.11521530000027269,107411,,,0.48872520000441
spatial_knn_ridge,WNA,CAU,deploy,0.9524651580098746,69,71830,0.0,0,,,0.482104700000491
spatial_knn_ridge,WNA,CAU,adapt,0.8028402546609658,69,71830,0.001542800004244782,60000,-0.04482375085353851,0.6694201827049255,0.482104700000491
spatial_knn_ridge,WNA,CAU,retrain,0.8067429614239845,69,71830,0.194487200002186,120000,,,0.482104700000491
spatial_knn_ridge,WNA,NAU,deploy,3.185596472230451,58,59757,0.0,0,,,0.482104700000491
spatial_knn_ridge,WNA,NAU,adapt,3.1070361795096564,58,59757,0.0016457999881822616,60000,-0.16101855039596558,1.2655996084213257,0.482104700000491
spatial_knn_ridge,WNA,NAU,retrain,3.1210075431856614,58,59757,0.1680616999947233,120000,,,0.482104700000491
spatial_knn_ridge,WNA,NEN,deploy,1.4615495415294872,51,52262,0.0,0,,,0.482104700000491
spatial_knn_ridge,WNA,NEN,adapt,1.4384486967442083,51,52262,0.0015693000023020431,53448,0.11000522971153259,0.6866627335548401,0.482104700000491
spatial_knn_ridge,WNA,NEN,retrain,1.438316143026539,51,52262,0.16840770000999328,120000,,,0.482104700000491
spatial_knn_ridge,WNA,ESB,deploy,1.3925267137013948,39,34528,0.0,0,,,0.482104700000491
spatial_knn_ridge,WNA,ESB,adapt,1.3630899007503803,39,34528,0.0014601999864680693,42659,0.05721363425254822,0.7668535709381104,0.482104700000491
spatial_knn_ridge,WNA,ESB,retrain,1.3608544224347823,39,34528,0.12461139999504667,113888,,,0.482104700000491
spatial_knn_ridge,WNA,RFE,deploy,1.7816807241053194,37,32342,0.0,0,,,0.482104700000491
spatial_knn_ridge,WNA,RFE,adapt,1.7680907781059678,37,32342,0.0013092000008327886,40382,0.021263480186462402,0.9123268723487854,0.482104700000491
spatial_knn_ridge,WNA,RFE,retrain,1.7558173118410885,37,32342,0.11521530000027269,107411,,,0.482104700000491
spatial_knn_ridge,ENA,CAU,deploy,1.1331796050071716,69,71830,0.0,0,,,0.3589845999958925
spatial_knn_ridge,ENA,CAU,adapt,0.8059029892302941,69,71830,0.001597200011019595,60000,-0.308261513710022,1.0271517038345337,0.3589845999958925
spatial_knn_ridge,ENA,CAU,retrain,0.8067429614239845,69,71830,0.194487200002186,120000,,,0.3589845999958925
spatial_knn_ridge,ENA,NAU,deploy,3.3758541468916268,58,59757,0.0,0,,,0.3589845999958925
spatial_knn_ridge,ENA,NAU,adapt,3.1608138248838227,58,59757,0.0022582000092370436,60000,-0.668081521987915,1.992009162902832,0.3589845999958925
spatial_knn_ridge,ENA,NAU,retrain,3.1210075431856614,58,59757,0.1680616999947233,120000,,,0.3589845999958925
