forecast_model,feature_set,cv_kind,estimator,n_runs,mae_mean,mae_sd,r2_mean,r2_sd,r2_min,r2_max,r2_se,r2_ci95_halfwidth
graphwavenet_transfer,generic_shift,group_by_cell,random_forest,3,0.0809161753408353,0.0002901510299152605,0.14507136273627022,0.012766107857471043,0.1305891242473695,0.1546940961584444,0.007370515808014703,0.09365128286974406
graphwavenet_transfer,generic_shift,group_by_cell,ridge,3,0.09353569162653423,0.0011800656676096528,0.0041528734641858,0.0006852358168502969,0.0036192230022139,0.0049256245919416,0.00039562108331689204,0.00502684248267349
graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,3,0.09501931390656655,0.0003669660858806805,-0.0894869325590328,0.041608817276572424,-0.135325846881404,-0.0541019579410817,0.024022861855291042,0.30523940108835296
graphwavenet_transfer,generic_shift,leave_target_region_out,ridge,3,0.10542339029780012,0.0016390012559052273,-0.11130564688169726,0.002472235074020612,-0.1136549071434127,-0.1087264960396141,0.0014273455854858347,0.018136145238825556
graphwavenet_transfer,physical_knowledge,group_by_cell,random_forest,3,0.07672882454781683,0.0017292852831759676,0.303710783155527,0.02752160308923969,0.2787695650536625,0.3332369005922585,0.015889604952102572,0.20189657370244057
graphwavenet_transfer,physical_knowledge,group_by_cell,ridge,3,0.09322282105406843,0.0014653839013159587,0.13557330990306415,0.01729362986962923,0.1210035788975867,0.1546844951160405,0.00998448186049619,0.12686487070665703
graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,3,0.0855277556934451,0.005962765731092313,0.11495786850233354,0.11343675199285096,-0.0153101665455073,0.1919483604714024,0.06549273929906932,0.832164154283747
graphwavenet_transfer,physical_knowledge,leave_target_region_out,ridge,3,0.09424347633214876,0.0012426735170805098,0.08503571496086566,0.027888416688848883,0.0607598283370186,0.1154978166949503,0.016101384882579357,0.20458749285814595
graphwavenet_transfer,physical_plus_shift,group_by_cell,random_forest,3,0.06380636431203766,0.002968268453131575,0.3887608810429992,0.043021967973261646,0.3438343764391983,0.4295843244211342,0.02483874479043007,0.31560617670319063
graphwavenet_transfer,physical_plus_shift,group_by_cell,ridge,3,0.09246738137809353,0.0009928534895808855,0.13425892964494865,0.01484714125022696,0.1242006333092862,0.1513114138482648,0.008572000997514933,0.1089175996753249
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,random_forest,3,0.08314373946443031,0.007616342252326443,0.1015745859220437,0.13373005410075356,-0.0528425114109698,0.1792805360616589,0.07720908273381329,0.9810344127279559
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,ridge,3,0.09618132534415202,0.0012609547777632853,0.053356552590016336,0.025991616684151956,0.0372658971621604,0.0833423051809241,0.015006266889268701,0.1906726994245901
linear_window,generic_shift,group_by_cell,random_forest,3,1.1362740189063083,0.012477878758181618,-0.0101843977270505,0.007300995329233031,-0.018602682731883,-0.0055829658154709,0.004215231618684891,0.053559595958492294
linear_window,generic_shift,group_by_cell,ridge,3,1.1323622406054346,0.012499306032935845,-0.0003097670346936,0.00013005783222414904,-0.0004269423521079,-0.0001698313676243,7.508892444483164e-05,0.0009540952474345114
linear_window,generic_shift,leave_target_region_out,random_forest,3,1.135599686308008,0.011017764242570158,-0.0033244654903455003,0.0018419175398662994,-0.0053527290013419,-0.0017560138171666,0.0010634315874669014,0.013512179473543445
linear_window,generic_shift,leave_target_region_out,ridge,3,1.1323982129389065,0.01238660117594623,-0.0001937233631003,0.00043802574026942473,-0.0006554864975021,0.0002158972734703,0.00025289427905653746,0.0032133264863647565
linear_window,physical_knowledge,group_by_cell,random_forest,3,1.1822736465034962,0.023302208234789963,-0.13705706381807095,0.0912996310240506,-0.2395639475439521,-0.0644757829475259,0.05271186654864912,0.669767768406622
linear_window,physical_knowledge,group_by_cell,ridge,3,1.1349497249494487,0.012519009256462378,-0.005230907807940399,0.0027417844717027504,-0.0072247772842923,-0.0021042441028007,0.001582970002797519,0.02011354094717576
linear_window,physical_knowledge,leave_target_region_out,random_forest,3,1.1686392358019129,0.017171223959440745,-0.07144765288889857,0.03303815232929668,-0.1095468849064158,-0.050708096321909,0.0190745861408473,0.24236559676831596
linear_window,physical_knowledge,leave_target_region_out,ridge,3,1.133975062651294,0.01255343339299469,-0.0027132877029736667,0.0017013792176548506,-0.0044351446119759,-0.0010331536387757,0.0009822917493066629,0.012481200077598488
linear_window,physical_plus_shift,group_by_cell,random_forest,3,1.1821141883184467,0.023834459405467304,-0.13855770981498403,0.09490608972558504,-0.2455228172438492,-0.0644350201623049,0.0547940564508013,0.6962244996034991
linear_window,physical_plus_shift,group_by_cell,ridge,3,1.134831991306278,0.012618456541774778,-0.004693380532031167,0.002699900366795998,-0.0073521189230876,-0.0019541196326593,0.0015587882035548388,0.01980628205510297
linear_window,physical_plus_shift,leave_target_region_out,random_forest,3,1.1673772900682606,0.0177777269417635,-0.06832622545805327,0.0335971298432328,-0.1069309899018855,-0.0457040156231105,0.019397311958989267,0.24646621708736036
linear_window,physical_plus_shift,leave_target_region_out,ridge,3,1.1337608215400135,0.012834076833908557,-0.0022383317247379,0.0021999414792425345,-0.0047731833334947,-0.0008272465897223,0.001270136805242101,0.01613861829068391
patchtst_small,generic_shift,group_by_cell,random_forest,3,1.1414663039966035,0.01335692830355159,-0.0099634033202292,0.007198032797663518,-0.0182706065613689,-0.005576441700863,0.004155786173366787,0.05280426995963208
