model,decision,n_pairs,threshold_profile,deploy_threshold,adapt_threshold
graphwavenet_transfer,adapt,5,strict,0.005,0.02
graphwavenet_transfer,retrain,105,strict,0.005,0.02
linear_window,retrain,110,strict,0.005,0.02
patchtst_small,retrain,110,strict,0.005,0.02
regional_doy_climatology,adapt,3,strict,0.005,0.02
regional_doy_climatology,deploy,45,strict,0.005,0.02
regional_doy_climatology,retrain,62,strict,0.005,0.02
spatial_knn_ridge,adapt,13,strict,0.005,0.02
spatial_knn_ridge,deploy,32,strict,0.005,0.02
spatial_knn_ridge,retrain,65,strict,0.005,0.02
stgcn_diffusion,adapt,5,strict,0.005,0.02
stgcn_diffusion,retrain,105,strict,0.005,0.02
graphwavenet_transfer,adapt,7,main,0.01,0.025
graphwavenet_transfer,retrain,103,main,0.01,0.025
linear_window,retrain,110,main,0.01,0.025
patchtst_small,retrain,110,main,0.01,0.025
regional_doy_climatology,adapt,2,main,0.01,0.025
regional_doy_climatology,deploy,46,main,0.01,0.025
regional_doy_climatology,retrain,62,main,0.01,0.025
spatial_knn_ridge,adapt,11,main,0.01,0.025
spatial_knn_ridge,deploy,37,main,0.01,0.025
spatial_knn_ridge,retrain,62,main,0.01,0.025
stgcn_diffusion,adapt,5,main,0.01,0.025
stgcn_diffusion,deploy,1,main,0.01,0.025
stgcn_diffusion,retrain,104,main,0.01,0.025
graphwavenet_transfer,adapt,4,lenient,0.015,0.03
graphwavenet_transfer,deploy,4,lenient,0.015,0.03
graphwavenet_transfer,retrain,102,lenient,0.015,0.03
linear_window,retrain,110,lenient,0.015,0.03
patchtst_small,retrain,110,lenient,0.015,0.03
regional_doy_climatology,adapt,1,lenient,0.015,0.03
regional_doy_climatology,deploy,47,lenient,0.015,0.03
regional_doy_climatology,retrain,62,lenient,0.015,0.03
spatial_knn_ridge,adapt,9,lenient,0.015,0.03
spatial_knn_ridge,deploy,40,lenient,0.015,0.03
spatial_knn_ridge,retrain,61,lenient,0.015,0.03
stgcn_diffusion,adapt,9,lenient,0.015,0.03
stgcn_diffusion,deploy,2,lenient,0.015,0.03
stgcn_diffusion,retrain,99,lenient,0.015,0.03
