threshold_profile,deploy_threshold,adapt_threshold,model,source_region,target_region,degradation_mean,degradation_ci95_halfwidth,risk_score,decision
strict,0.005,0.02,graphwavenet_transfer,CNA,EAS,0.1215890633702993,0.5404236636111336,0.6620127269814329,retrain
strict,0.005,0.02,graphwavenet_transfer,CNA,EAU,0.0258572490364467,0.0625233963167832,0.0883806453532299,retrain
strict,0.005,0.02,graphwavenet_transfer,CNA,ENA,0.0333539154592412,0.0584765516057265,0.0918304670649677,retrain
strict,0.005,0.02,graphwavenet_transfer,CNA,MED,0.0396956162547429,0.0660247282874601,0.105720344542203,retrain
strict,0.005,0.02,graphwavenet_transfer,CNA,NCA,-0.0069023968497045,0.0180095059244015,0.011107109074696999,adapt
strict,0.005,0.02,graphwavenet_transfer,CNA,NEU,0.120494276005165,0.198619588110278,0.319113864115443,retrain
strict,0.005,0.02,graphwavenet_transfer,CNA,NWN,0.1915399426149802,0.0335535789428259,0.2250935215578061,retrain
strict,0.005,0.02,graphwavenet_transfer,CNA,SAU,0.0359435129353249,0.065134441924123,0.1010779548594479,retrain
strict,0.005,0.02,graphwavenet_transfer,CNA,WCE,0.0713502212649242,0.1748679479729989,0.2462181692379231,retrain
strict,0.005,0.02,graphwavenet_transfer,CNA,WNA,0.0863094360785391,0.0729760224486648,0.15928545852720388,retrain
strict,0.005,0.02,graphwavenet_transfer,EAS,CNA,0.2262422594723158,0.0894334052043074,0.3156756646766232,retrain
strict,0.005,0.02,graphwavenet_transfer,EAS,EAU,0.0247173342090528,0.0825160763307246,0.10723341053977739,retrain
strict,0.005,0.02,graphwavenet_transfer,EAS,ENA,0.318138251525233,0.148141011591189,0.466279263116422,retrain
strict,0.005,0.02,graphwavenet_transfer,EAS,MED,0.0117930564210659,0.0521332441181804,0.0639263005392463,retrain
strict,0.005,0.02,graphwavenet_transfer,EAS,NCA,0.0171399423091603,0.020995065211212,0.0381350075203723,retrain
strict,0.005,0.02,graphwavenet_transfer,EAS,NEU,0.0613960072578026,0.1605838757826596,0.22197988304046218,retrain
strict,0.005,0.02,graphwavenet_transfer,EAS,NWN,0.1013231926316112,0.1141468913300765,0.2154700839616877,retrain
strict,0.005,0.02,graphwavenet_transfer,EAS,SAU,0.0249191719837571,0.0988934486672526,0.1238126206510097,retrain
strict,0.005,0.02,graphwavenet_transfer,EAS,WCE,0.0475782124376073,0.1487941460436756,0.1963723584812829,retrain
strict,0.005,0.02,graphwavenet_transfer,EAS,WNA,0.043463604127702,0.0384560057226461,0.0819196098503481,retrain
strict,0.005,0.02,graphwavenet_transfer,EAU,CNA,0.1805033974945719,0.0083517023181866,0.1888550998127585,retrain
strict,0.005,0.02,graphwavenet_transfer,EAU,EAS,-0.0094214980262849,0.2958042600605902,0.2863827620343053,retrain
strict,0.005,0.02,graphwavenet_transfer,EAU,ENA,0.2617341787044749,0.0514355050721992,0.3131696837766741,retrain
strict,0.005,0.02,graphwavenet_transfer,EAU,MED,0.002472119764635,0.0199313192783619,0.0224034390429969,retrain
strict,0.005,0.02,graphwavenet_transfer,EAU,NCA,0.0079503591534243,0.0264642956262491,0.0344146547796734,retrain
strict,0.005,0.02,graphwavenet_transfer,EAU,NEU,0.0381010835955417,0.0597490937424937,0.0978501773380354,retrain
strict,0.005,0.02,graphwavenet_transfer,EAU,NWN,0.1586460456043022,0.0934684407375172,0.25211448634181943,retrain
strict,0.005,0.02,graphwavenet_transfer,EAU,SAU,0.0047762713920055,0.0479012635461463,0.052677534938151804,retrain
strict,0.005,0.02,graphwavenet_transfer,EAU,WCE,0.0165810751729528,0.0679726521939337,0.08455372736688649,retrain
strict,0.005,0.02,graphwavenet_transfer,EAU,WNA,0.0655795889539116,0.0192031158719548,0.08478270482586639,retrain
strict,0.005,0.02,graphwavenet_transfer,ENA,CNA,0.0224130109730416,0.0600702857711373,0.0824832967441789,retrain
strict,0.005,0.02,graphwavenet_transfer,ENA,EAS,0.1605484261870174,0.235890376116966,0.39643880230398343,retrain
strict,0.005,0.02,graphwavenet_transfer,ENA,EAU,0.0472544656880978,0.0284448181130723,0.07569928380117011,retrain
strict,0.005,0.02,graphwavenet_transfer,ENA,MED,0.0350361438146831,0.0853283094528836,0.1203644532675667,retrain
strict,0.005,0.02,graphwavenet_transfer,ENA,NCA,-0.0063874675578067,0.1027210622235353,0.0963335946657286,retrain
strict,0.005,0.02,graphwavenet_transfer,ENA,NEU,0.1049751763633312,0.0173117833882078,0.122286959751539,retrain
strict,0.005,0.02,graphwavenet_transfer,ENA,NWN,0.1620856544549647,0.0252322909151241,0.1873179453700888,retrain
strict,0.005,0.02,graphwavenet_transfer,ENA,SAU,0.0384017772388466,0.0259892385156344,0.064391015754481,retrain
strict,0.005,0.02,graphwavenet_transfer,ENA,WCE,0.0572269242345978,0.0674961218935392,0.12472304612813699,retrain
strict,0.005,0.02,graphwavenet_transfer,ENA,WNA,0.0855374585893522,0.0082952899509671,0.0938327485403193,retrain
strict,0.005,0.02,graphwavenet_transfer,MED,CNA,0.1962878311761052,0.0562899240736254,0.2525777552497306,retrain
strict,0.005,0.02,graphwavenet_transfer,MED,EAS,-0.0221317882423343,0.2183781033569742,0.19624631511463989,retrain
strict,0.005,0.02,graphwavenet_transfer,MED,EAU,0.0097923053838596,0.0245969188922168,0.0343892242760764,retrain
strict,0.005,0.02,graphwavenet_transfer,MED,ENA,0.2698897499061846,0.0487642086685587,0.31865395857474327,retrain
strict,0.005,0.02,graphwavenet_transfer,MED,NCA,0.0084969280254973,0.0425704629661226,0.0510673909916199,retrain
strict,0.005,0.02,graphwavenet_transfer,MED,NEU,0.0177772346756848,0.0283548445651591,0.0461320792408439,retrain
strict,0.005,0.02,graphwavenet_transfer,MED,NWN,0.1225665318601379,0.0687753131698735,0.1913418450300114,retrain
strict,0.005,0.02,graphwavenet_transfer,MED,SAU,0.0022911548820833,0.0088074160542153,0.011098570936298601,adapt
strict,0.005,0.02,graphwavenet_transfer,MED,WCE,0.0063320445599767,0.0080786441902756,0.0144106887502523,adapt
strict,0.005,0.02,graphwavenet_transfer,MED,WNA,0.0434014164899422,0.0479766799034495,0.0913780963933917,retrain
strict,0.005,0.02,graphwavenet_transfer,NCA,CNA,0.1530451899806846,0.1376778160428551,0.2907230060235397,retrain
strict,0.005,0.02,graphwavenet_transfer,NCA,EAS,0.0484004798598463,0.4030300119872478,0.4514304918470941,retrain
strict,0.005,0.02,graphwavenet_transfer,NCA,EAU,0.0226741542530174,0.0386629442495455,0.0613370985025629,retrain
strict,0.005,0.02,graphwavenet_transfer,NCA,ENA,0.204026326771405,0.3269300763722363,0.5309564031436413,retrain
strict,0.005,0.02,graphwavenet_transfer,NCA,MED,0.026190655958695,0.0338717237795969,0.0600623797382919,retrain
strict,0.005,0.02,graphwavenet_transfer,NCA,NEU,0.1219681392387221,0.2254673144697741,0.3474354537084962,retrain
strict,0.005,0.02,graphwavenet_transfer,NCA,NWN,0.1237069811311014,0.122838781426209,0.24654576255731042,retrain
strict,0.005,0.02,graphwavenet_transfer,NCA,SAU,0.037215893696113,0.0525176635698706,0.0897335572659836,retrain
strict,0.005,0.02,graphwavenet_transfer,NCA,WCE,0.0969534036144238,0.1928765179803072,0.289829921594731,retrain
strict,0.005,0.02,graphwavenet_transfer,NCA,WNA,0.0542743082335559,0.056573172046342,0.1108474802798979,retrain
strict,0.005,0.02,graphwavenet_transfer,NEU,CNA,0.2199681437292854,0.0455030917850676,0.265471235514353,retrain
strict,0.005,0.02,graphwavenet_transfer,NEU,EAS,0.0081704613450481,0.3072378429202025,0.3154083042652506,retrain
strict,0.005,0.02,graphwavenet_transfer,NEU,EAU,0.0267737697563461,0.0434685408869041,0.0702423106432502,retrain
strict,0.005,0.02,graphwavenet_transfer,NEU,ENA,0.2875944364162607,0.0428902431172218,0.3304846795334825,retrain
strict,0.005,0.02,graphwavenet_transfer,NEU,MED,0.0092641462154477,0.0271545670698009,0.0364187132852486,retrain
strict,0.005,0.02,graphwavenet_transfer,NEU,NCA,0.0246062125943211,0.0285523792751467,0.0531585918694678,retrain
strict,0.005,0.02,graphwavenet_transfer,NEU,NWN,0.1087208981525529,0.176362687469973,0.2850835856225259,retrain
strict,0.005,0.02,graphwavenet_transfer,NEU,SAU,0.0148479950243642,0.0318253249884058,0.04667332001277,retrain
strict,0.005,0.02,graphwavenet_transfer,NEU,WCE,0.0009600791287558,0.0276923814019435,0.0286524605306993,retrain
strict,0.005,0.02,graphwavenet_transfer,NEU,WNA,0.0512031805033691,0.0823994613565323,0.1336026418599014,retrain
strict,0.005,0.02,graphwavenet_transfer,NWN,CNA,0.2230941148252126,0.1205798715174709,0.34367398634268354,retrain
strict,0.005,0.02,graphwavenet_transfer,NWN,EAS,0.0691770368993278,0.3367809940139735,0.4059580309133013,retrain
strict,0.005,0.02,graphwavenet_transfer,NWN,EAU,0.0706944754171686,0.1488203258898353,0.2195148013070039,retrain
strict,0.005,0.02,graphwavenet_transfer,NWN,ENA,0.2655352853098188,0.0900078760469683,0.3555431613567871,retrain
strict,0.005,0.02,graphwavenet_transfer,NWN,MED,0.0334213590961034,0.0872576505736133,0.1206790096697167,retrain
strict,0.005,0.02,graphwavenet_transfer,NWN,NCA,0.0197699155215381,0.0487942192138209,0.068564134735359,retrain
strict,0.005,0.02,graphwavenet_transfer,NWN,NEU,0.0465828056220219,0.1625576183163375,0.2091404239383594,retrain
strict,0.005,0.02,graphwavenet_transfer,NWN,SAU,0.0437192225388504,0.0986813654934031,0.1424005880322535,retrain
strict,0.005,0.02,graphwavenet_transfer,NWN,WCE,0.0544778224474738,0.1599536759166779,0.2144314983641517,retrain
strict,0.005,0.02,graphwavenet_transfer,NWN,WNA,0.0137109431489949,0.0444367710769707,0.0581477142259656,retrain
strict,0.005,0.02,graphwavenet_transfer,SAU,CNA,0.1881060592889724,0.0329965639819887,0.22110262327096109,retrain
strict,0.005,0.02,graphwavenet_transfer,SAU,EAS,0.0304667867553866,0.27750846469997,0.3079752514553566,retrain
strict,0.005,0.02,graphwavenet_transfer,SAU,EAU,0.0176686648777055,0.0264521338537161,0.0441207987314216,retrain
strict,0.005,0.02,graphwavenet_transfer,SAU,ENA,0.256334035040441,0.048110156596767,0.304444191637208,retrain
strict,0.005,0.02,graphwavenet_transfer,SAU,MED,0.0022509154703775,0.0119095939651251,0.0141605094355026,adapt
strict,0.005,0.02,graphwavenet_transfer,SAU,NCA,0.0111643423550368,0.0400501761471158,0.0512145185021526,retrain
strict,0.005,0.02,graphwavenet_transfer,SAU,NEU,0.0246911421333369,0.0079420154828535,0.0326331576161904,retrain
strict,0.005,0.02,graphwavenet_transfer,SAU,NWN,0.1556611863165627,0.110931586027475,0.26659277234403767,retrain
strict,0.005,0.02,graphwavenet_transfer,SAU,WCE,0.0052902801319146,0.0105263764951787,0.0158166566270933,adapt
strict,0.005,0.02,graphwavenet_transfer,SAU,WNA,0.0718472179334131,0.0375023485593679,0.10934956649278099,retrain
strict,0.005,0.02,graphwavenet_transfer,WCE,CNA,0.19730058850742,0.0191582943752642,0.2164588828826842,retrain
strict,0.005,0.02,graphwavenet_transfer,WCE,EAS,0.0535943059414512,0.3963303743776954,0.4499246803191466,retrain
strict,0.005,0.02,graphwavenet_transfer,WCE,EAU,0.0284182663340136,0.0532947648529706,0.0817130311869842,retrain
strict,0.005,0.02,graphwavenet_transfer,WCE,ENA,0.2620182139864824,0.0808317987971246,0.342850012783607,retrain
strict,0.005,0.02,graphwavenet_transfer,WCE,MED,0.006180564449025,0.0171129708485284,0.0232935352975534,retrain
strict,0.005,0.02,graphwavenet_transfer,WCE,NCA,0.0148099100723941,0.0242210878128525,0.039030997885246596,retrain
strict,0.005,0.02,graphwavenet_transfer,WCE,NEU,0.0280064646332017,0.0838026064225703,0.11180907105577201,retrain
strict,0.005,0.02,graphwavenet_transfer,WCE,NWN,0.1893046936075025,0.145146359644177,0.33445105325167945,retrain
strict,0.005,0.02,graphwavenet_transfer,WCE,SAU,0.0098755426227878,0.0277338703932055,0.0376094130159933,retrain
strict,0.005,0.02,graphwavenet_transfer,WCE,WNA,0.0864661832692238,0.0685836161853337,0.1550497994545575,retrain
strict,0.005,0.02,graphwavenet_transfer,WNA,CNA,0.2000938151125914,0.088853437652715,0.2889472527653064,retrain
strict,0.005,0.02,graphwavenet_transfer,WNA,EAS,0.0062487020718341,0.3934335022406256,0.3996822043124597,retrain
strict,0.005,0.02,graphwavenet_transfer,WNA,EAU,0.0424437207470774,0.1629966598449636,0.20544038059204098,retrain
strict,0.005,0.02,graphwavenet_transfer,WNA,ENA,0.2563754562040827,0.0358495622083257,0.2922250184124084,retrain
strict,0.005,0.02,graphwavenet_transfer,WNA,MED,0.025513677346458,0.0766812289631079,0.1021949063095659,retrain
strict,0.005,0.02,graphwavenet_transfer,WNA,NCA,0.0064373197383305,0.0305611827651899,0.0369985025035204,retrain
strict,0.005,0.02,graphwavenet_transfer,WNA,NEU,0.034278460122805,0.0694499071151325,0.1037283672379375,retrain
strict,0.005,0.02,graphwavenet_transfer,WNA,NWN,0.034182197980371,0.0372086354522349,0.0713908334326059,retrain
strict,0.005,0.02,graphwavenet_transfer,WNA,SAU,0.0455848624292151,0.1073781970665419,0.152963059495757,retrain
strict,0.005,0.02,graphwavenet_transfer,WNA,WCE,0.0444733429832379,0.0849890229492867,0.1294623659325246,retrain
strict,0.005,0.02,linear_window,CNA,EAS,0.2910739774790141,1.498254919507789,1.789328896986803,retrain
strict,0.005,0.02,linear_window,CNA,EAU,0.1429501172650559,1.1366179880787883,1.2795681053438441,retrain
strict,0.005,0.02,linear_window,CNA,ENA,-0.0105637368069076,0.992806019663692,0.9822422828567844,retrain
strict,0.005,0.02,linear_window,CNA,MED,0.0364009786664052,0.2188066491974369,0.2552076278638421,retrain
strict,0.005,0.02,linear_window,CNA,NCA,0.0151260800942363,0.2337343592823247,0.248860439376561,retrain
strict,0.005,0.02,linear_window,CNA,NEU,0.1458440593148443,0.1510084169484815,0.2968524762633258,retrain
strict,0.005,0.02,linear_window,CNA,NWN,0.1916049737876821,0.4462753662275189,0.637880340015201,retrain
strict,0.005,0.02,linear_window,CNA,SAU,0.0636026577978784,0.3827184342052117,0.44632109200309006,retrain
strict,0.005,0.02,linear_window,CNA,WCE,0.0622380338209981,0.1540335095251304,0.2162715433461285,retrain
strict,0.005,0.02,linear_window,CNA,WNA,0.0388359085708381,0.2761568435211092,0.3149927520919473,retrain
strict,0.005,0.02,linear_window,EAS,CNA,0.0179295686414988,0.5446208564721773,0.562550425113676,retrain
strict,0.005,0.02,linear_window,EAS,EAU,0.0073165669554798,0.8999765206098227,0.9072930875653025,retrain
strict,0.005,0.02,linear_window,EAS,ENA,0.081687791521903,0.4921233697155003,0.5738111612374033,retrain
strict,0.005,0.02,linear_window,EAS,MED,-0.0229140862005597,0.3174708489107208,0.2945567627101611,retrain
strict,0.005,0.02,linear_window,EAS,NCA,0.0064651787424412,0.8329014423255044,0.8393666210679457,retrain
strict,0.005,0.02,linear_window,EAS,NEU,0.0018302071446321,0.1944363150186694,0.1962665221633015,retrain
strict,0.005,0.02,linear_window,EAS,NWN,0.0066878863198276,0.3482676615612184,0.354955547881046,retrain
strict,0.005,0.02,linear_window,EAS,SAU,0.0917694616414242,0.4465802593729243,0.5383497210143485,retrain
strict,0.005,0.02,linear_window,EAS,WCE,-0.0042739322402466,0.4974784785987839,0.49320454635853733,retrain
strict,0.005,0.02,linear_window,EAS,WNA,-0.0426563266637135,0.3696592141018775,0.327002887438164,retrain
strict,0.005,0.02,linear_window,EAU,CNA,0.0497781469830288,0.1352170946679982,0.184995241651027,retrain
strict,0.005,0.02,linear_window,EAU,EAS,0.0673776982328352,5.500329195320234,5.567706893553069,retrain
strict,0.005,0.02,linear_window,EAU,ENA,-0.0040851239093844,0.3776863544674019,0.37360123055801747,retrain
strict,0.005,0.02,linear_window,EAU,MED,0.0203841858676791,0.5098529865979059,0.530237172465585,retrain
strict,0.005,0.02,linear_window,EAU,NCA,-0.0337162401355046,0.6877902028499264,0.6540739627144219,retrain
strict,0.005,0.02,linear_window,EAU,NEU,0.0479045924163073,0.1694616196722752,0.21736621208858248,retrain
strict,0.005,0.02,linear_window,EAU,NWN,-0.0044095944828229,0.3335563195769419,0.32914672509411896,retrain
strict,0.005,0.02,linear_window,EAU,SAU,0.07345263384974,0.8673184528004112,0.9407710866501512,retrain
strict,0.005,0.02,linear_window,EAU,WCE,-0.036836285743328,0.1417010414994467,0.1048647557561187,retrain
strict,0.005,0.02,linear_window,EAU,WNA,-0.0214855623873693,0.488273894054632,0.4667883316672627,retrain
strict,0.005,0.02,linear_window,ENA,CNA,0.0153071954800696,0.7969146827124632,0.8122218781925329,retrain
strict,0.005,0.02,linear_window,ENA,EAS,0.2877063865897467,3.6931507338246914,3.980857120414438,retrain
strict,0.005,0.02,linear_window,ENA,EAU,0.2121410639558697,0.522879933698847,0.7350209976547167,retrain
strict,0.005,0.02,linear_window,ENA,MED,-0.0355508270465278,0.5997613463173672,0.5642105192708394,retrain
