model,decision,n_pairs,threshold_profile,deploy_threshold,adapt_threshold
graphwavenet_transfer,adapt,2,strict,0.005,0.02
graphwavenet_transfer,deploy,1,strict,0.005,0.02
graphwavenet_transfer,retrain,3,strict,0.005,0.02
stgcn_diffusion,adapt,3,strict,0.005,0.02
stgcn_diffusion,deploy,1,strict,0.005,0.02
stgcn_diffusion,retrain,2,strict,0.005,0.02
graphwavenet_transfer,adapt,3,main,0.01,0.025
graphwavenet_transfer,deploy,1,main,0.01,0.025
graphwavenet_transfer,retrain,2,main,0.01,0.025
stgcn_diffusion,adapt,2,main,0.01,0.025
stgcn_diffusion,deploy,3,main,0.01,0.025
stgcn_diffusion,retrain,1,main,0.01,0.025
graphwavenet_transfer,adapt,2,lenient,0.015,0.03
graphwavenet_transfer,deploy,3,lenient,0.015,0.03
graphwavenet_transfer,retrain,1,lenient,0.015,0.03
stgcn_diffusion,adapt,3,lenient,0.015,0.03
stgcn_diffusion,deploy,3,lenient,0.015,0.03
