source_region,target_region,model,n_stations,n_cells,mae_mean,brier_mean,mae_out_minus_in_mean,brier_out_minus_in_mean
CNA,CNA,regional_doy_climatology,438,14,3.49518890436573,0.7195435680303586,0.0,0.0
CNA,EAS,regional_doy_climatology,110,16,7.051003198738443,0.626170923640426,-1.8138540352836012,0.03525195241200223
CNA,EAU,regional_doy_climatology,241,6,4.08815610417968,0.7045848321315354,-0.11024210983132843,0.03967850655820005
CNA,ENA,regional_doy_climatology,522,21,4.14970909509752,0.6543172192527054,-0.5570763020345851,-0.06989125513343622
CNA,MED,regional_doy_climatology,328,19,3.150608866288389,0.7345318883227439,0.3448028416410471,0.10294513960675716
CNA,NCA,regional_doy_climatology,144,7,2.750231063918863,0.7804821569714152,0.8933137824679266,0.30180860111099206
CNA,NEU,regional_doy_climatology,1000,28,3.1154030985833234,0.6268773243933409,-0.005721990683715695,-0.02092176237583035
CNA,NWN,regional_doy_climatology,183,36,3.5439165543199387,0.6595961046162048,-0.19641028423315832,-0.06563357647670767
CNA,SAU,regional_doy_climatology,351,13,3.006729526275029,0.6789992901985624,0.2293997924225537,0.02979617768273057
CNA,WCE,regional_doy_climatology,1000,17,3.037048775595318,0.6342587144697014,-0.04928796501341172,-0.023896056184422355
CNA,WNA,regional_doy_climatology,975,17,3.2671245274150995,0.6912802981283477,0.13920016755065687,0.0795170503698549
EAS,CNA,regional_doy_climatology,438,14,6.5064149972463206,0.6954419293015507,3.011226092880591,-0.02410163872880781
EAS,EAS,regional_doy_climatology,110,16,8.864857234022045,0.5909189712284239,0.0,0.0
EAS,EAU,regional_doy_climatology,241,6,7.3201908352894565,0.6928588113634958,3.121792621278449,0.02795248579016055
EAS,ENA,regional_doy_climatology,522,21,6.89441037267778,0.6429556865077077,2.1876249755456754,-0.08125278787843389
EAS,MED,regional_doy_climatology,328,19,6.5824736217232465,0.7227175792979843,3.776667597075905,0.09113083058199763
EAS,NCA,regional_doy_climatology,144,7,6.151209184584904,0.7522765057486618,4.294291903133969,0.2736029498882387
EAS,NEU,regional_doy_climatology,1000,28,6.104500391725181,0.6140660659526682,2.9833753024581413,-0.033733020816503076
EAS,NWN,regional_doy_climatology,183,36,6.555815959340083,0.640413586262532,2.815489120786986,-0.08481609483038044
EAS,SAU,regional_doy_climatology,351,13,6.056505766955004,0.6463486841206624,3.279176033102528,-0.002854428395169458
EAS,WCE,regional_doy_climatology,1000,17,5.997360760428204,0.6223898406238775,2.911024019819475,-0.03576493003024633
EAS,WNA,regional_doy_climatology,975,17,6.6180694858299045,0.6834913092672665,3.490145125965462,0.07172806150877377
EAU,CNA,regional_doy_climatology,438,14,3.778008021202974,0.703004850049046,0.28281911683724403,-0.01653871798131257
EAU,EAS,regional_doy_climatology,110,16,7.531134637531444,0.6766095630138822,-1.3337225964906012,0.08569059178545839
EAU,EAU,regional_doy_climatology,241,6,4.198398214011008,0.6649063255733354,0.0,0.0
EAU,ENA,regional_doy_climatology,522,21,4.355024671202821,0.6384988052714473,-0.3517607259292845,-0.08570966911469428
EAU,MED,regional_doy_climatology,328,19,3.273817260314476,0.6781370683118159,0.468011235667134,0.04655031959582914
EAU,NCA,regional_doy_climatology,144,7,2.9850174602796744,0.7440611917846459,1.128100178828738,0.26538763592422276
EAU,NEU,regional_doy_climatology,1000,28,3.263005463023808,0.5939419678177971,0.1418803737567691,-0.05385711895137423
EAU,NWN,regional_doy_climatology,183,36,3.75464684832935,0.6412344177059249,0.014320009776252788,-0.08399526338698753
EAU,SAU,regional_doy_climatology,351,13,3.3094325769087316,0.6744934711461771,0.5321028430562567,0.025290358630345202
EAU,WCE,regional_doy_climatology,1000,17,3.2209377045325,0.6110785767948244,0.13460096392377033,-0.04707619385929948
EAU,WNA,regional_doy_climatology,975,17,3.2880583428862096,0.6282006114870108,0.1601339830217671,0.016437363728518072
ENA,CNA,regional_doy_climatology,438,14,4.2298642369164945,0.8167811820731493,0.734675332550765,0.09723761404279072
ENA,EAS,regional_doy_climatology,110,16,7.692079556124821,0.722788329310358,-1.1727776778972236,0.13186935808193423
ENA,EAU,regional_doy_climatology,241,6,4.682848009153532,0.7706615168670985,0.48444979514252395,0.1057551912937632
ENA,ENA,regional_doy_climatology,522,21,4.706785397132105,0.7242084743861416,0.0,0.0
ENA,MED,regional_doy_climatology,328,19,3.8405603001579225,0.8173143523473475,1.0347542755105803,0.18572760363136082
ENA,NCA,regional_doy_climatology,144,7,3.5695836428371894,0.8932390523937461,1.7126663613862525,0.41456549653332286
ENA,NEU,regional_doy_climatology,1000,28,3.603212854399303,0.6601208861994806,0.4820877651322641,0.012321799430309407
ENA,NWN,regional_doy_climatology,183,36,4.118174902377902,0.7209196568387294,0.37784806382480396,-0.004310024254183052
ENA,SAU,regional_doy_climatology,351,13,3.665834010798011,0.7616030920396557,0.888504276945536,0.11239997952382379
ENA,WCE,regional_doy_climatology,1000,17,3.566447204060537,0.6869969000699307,0.48011046345180747,0.028842129415807015
ENA,WNA,regional_doy_climatology,975,17,3.82407872607231,0.7424944186050736,0.6961543662078676,0.1307311708465808
MED,CNA,regional_doy_climatology,438,14,3.3590928874920682,0.6878704990428848,-0.1360960168736618,-0.03167306898747376
MED,EAS,regional_doy_climatology,110,16,7.208182856114486,0.6901996234569417,-1.6566743779075588,0.09928065222851797
MED,EAU,regional_doy_climatology,241,6,3.803525096130267,0.62938908344192,-0.3948731178807414,-0.03551724213141533
MED,ENA,regional_doy_climatology,522,21,4.022629977992747,0.63436994415162,-0.6841554191393587,-0.08983853023452164
MED,MED,regional_doy_climatology,328,19,2.805806024647342,0.6315867487159866,0.0,0.0
MED,NCA,regional_doy_climatology,144,7,2.501170101221001,0.7301830024902872,0.6442528197700647,0.2515094466298641
MED,NEU,regional_doy_climatology,1000,28,2.8983882559302168,0.584861280640009,-0.22273683333682207,-0.06293780612916222
MED,NWN,regional_doy_climatology,183,36,3.363867766947366,0.6275264848754605,-0.3764590716057316,-0.09770319621745195
MED,SAU,regional_doy_climatology,351,13,2.919741757176985,0.6833774919473978,0.14241202332450992,0.03417437943156604
MED,WCE,regional_doy_climatology,1000,17,2.8556006582250397,0.6016427859232892,-0.2307360823836899,-0.05651198473083454
MED,WNA,regional_doy_climatology,975,17,2.9154899311620484,0.5828544930693983,-0.21243442870239398,-0.02890875468909442
NCA,CNA,regional_doy_climatology,438,14,2.8179064124568587,0.495244407433837,-0.6772824919088712,-0.2242991605965216
NCA,EAS,regional_doy_climatology,110,16,6.650539448283122,0.4628958421808139,-2.214317785738923,-0.12802312904760996
NCA,EAU,regional_doy_climatology,241,6,3.4182535922475914,0.5069205897647351,-0.7801446217634165,-0.15798573580860029
NCA,ENA,regional_doy_climatology,522,21,3.623738027790453,0.49471822247444136,-1.0830473693416525,-0.22949025191170022
NCA,MED,regional_doy_climatology,328,19,2.4311934641536013,0.5238376686847013,-0.37461256049374064,-0.10774908003128535
NCA,NCA,regional_doy_climatology,144,7,1.8569172814509365,0.47867355586042315,0.0,0.0
NCA,NEU,regional_doy_climatology,1000,28,2.61463864373906,0.4821622117983687,-0.5064864455279786,-0.16563687497080248
NCA,NWN,regional_doy_climatology,183,36,2.989383608880292,0.48393510718061605,-0.7509432296728051,-0.24129457391229636
NCA,SAU,regional_doy_climatology,351,13,2.4144284822945172,0.4865166826218062,-0.3629012515579579,-0.16268642989402562
NCA,WCE,regional_doy_climatology,1000,17,2.5150911499642654,0.48799636930716944,-0.5712455906444646,-0.1701584013469544
NCA,WNA,regional_doy_climatology,975,17,2.6607025486532234,0.5270858507108118,-0.46722181121121925,-0.08467739704768093
NEU,CNA,regional_doy_climatology,438,14,3.6843230398313813,0.809556360857338,0.18913413546565142,0.09001279282697933
NEU,EAS,regional_doy_climatology,110,16,7.271097545275497,0.7168602249134902,-1.5937596887465477,0.12594125368506637
NEU,EAU,regional_doy_climatology,241,6,4.174418041777807,0.7611513292101033,-0.023980172233200744,0.09624500363676791
NEU,ENA,regional_doy_climatology,522,21,4.2654994043816,0.7202349293852913,-0.4412859927505054,-0.003973545000850246
NEU,MED,regional_doy_climatology,328,19,3.2663649736328653,0.8103350156069582,0.4605589489855231,0.1787482668909715
NEU,NCA,regional_doy_climatology,144,7,2.8951965490010068,0.8793537440711385,1.0382792675500703,0.40068018821071544
NEU,NEU,regional_doy_climatology,1000,28,3.121125089267039,0.6477990867691713,0.0,0.0
NEU,NWN,regional_doy_climatology,183,36,3.6010836678435365,0.7110303733495491,-0.1392431707095609,-0.014199307743363384
NEU,SAU,regional_doy_climatology,351,13,3.125373345254471,0.7529881284218014,0.3480436114019958,0.10378501590596959
NEU,WCE,regional_doy_climatology,1000,17,3.1017662546155487,0.677807363514853,0.015429514006819193,0.019652592860729144
NEU,WNA,regional_doy_climatology,975,17,3.3390674704201873,0.7350535525698648,0.2111431105557446,0.12329030481137215
NWN,CNA,regional_doy_climatology,438,14,3.869860693647402,0.8230849488269691,0.37467178928167155,0.10354138079661057
NWN,EAS,regional_doy_climatology,110,16,7.419071709456459,0.7287116387206742,-1.445785524565586,0.13779266749225041
NWN,EAU,regional_doy_climatology,241,6,4.308627971868992,0.7764449592674678,0.11022975785798332,0.1115386336941325
NWN,ENA,regional_doy_climatology,522,21,4.413922480421815,0.7304569970715851,-0.2928629167102912,0.006248522685443499
NWN,MED,regional_doy_climatology,328,19,3.4103808996632687,0.8216823032264929,0.604574875015927,0.19009555451050617
NWN,NCA,regional_doy_climatology,144,7,3.0997162819848874,0.899926492612901,1.2427990005339509,0.4212529367524779
NWN,NEU,regional_doy_climatology,1000,28,3.2377078301948803,0.6622556890947685,0.1165827409278415,0.014456602325597225
NWN,NWN,regional_doy_climatology,183,36,3.740326838553097,0.7252296810929124,0.0,0.0
NWN,SAU,regional_doy_climatology,351,13,3.290127797129525,0.7670770483510053,0.5127980632770501,0.11787393583517353
NWN,WCE,regional_doy_climatology,1000,17,3.2246087869159537,0.6876464642524973,0.1382720463072238,0.02949169359837351
NWN,WNA,regional_doy_climatology,975,17,3.448029277279007,0.7452145524114879,0.32010491741456415,0.1334513046529952
