source_region,target_region,model,n_stations,n_cells,mae_mean,brier_mean,mae_out_minus_in_mean,brier_out_minus_in_mean
CNA,CNA,graphwavenet_transfer,438,14,1.9766831684337989,0.14829374787537117,0.0,0.0
CNA,EAS,graphwavenet_transfer,110,16,6.268823599964519,0.24581307008741105,0.14225789675110737,0.020014905610414937
CNA,EAU,graphwavenet_transfer,241,6,2.8131904333796434,0.21104833962715963,0.022118282574996512,0.0037571928694575926
CNA,ENA,graphwavenet_transfer,522,21,2.9532494944394503,0.2353970086071355,0.024917380087539038,0.003908364958144909
CNA,MED,graphwavenet_transfer,328,19,1.7398386596023931,0.17528524079866756,0.029328508769770206,0.00543264098941693
CNA,NCA,graphwavenet_transfer,144,7,1.0097249188420432,0.09453453212682575,-0.0040778599707099634,0.0007428262981618822
CNA,NEU,graphwavenet_transfer,1000,28,2.321694658185306,0.3154373066756973,0.09039344509599635,0.02444111292741675
CNA,NWN,graphwavenet_transfer,183,36,2.489739361567098,0.24788234763886424,0.19437404468470884,0.03477203433489686
CNA,SAU,graphwavenet_transfer,351,13,1.9051641879733878,0.22421999751506458,0.02574702798271682,0.007054357339966992
CNA,WCE,graphwavenet_transfer,1000,17,2.1982452999065063,0.30163997946765914,0.04856383629541239,0.011286606999128162
CNA,WNA,graphwavenet_transfer,975,17,2.0120447331298505,0.23371037691858507,0.0805061916635377,0.02199663463528624
EAS,CNA,graphwavenet_transfer,438,14,2.1951771380569274,0.1864127014381021,0.21849396962312867,0.03811895356273094
EAS,EAS,graphwavenet_transfer,110,16,6.126565703213412,0.22579816447699608,0.0,0.0
EAS,EAU,graphwavenet_transfer,241,6,2.8109676586855463,0.2122014576703693,0.019895507880899777,0.004910310912667245
EAS,ENA,graphwavenet_transfer,522,21,3.223394091591492,0.2797400941612522,0.2950619772395806,0.04825145051226159
EAS,MED,graphwavenet_transfer,328,19,1.714668562820618,0.17021352771434028,0.004158411987995019,0.00036092790508964004
EAS,NCA,graphwavenet_transfer,144,7,1.034233520064204,0.09870309199883595,0.020430741251450935,0.004911386170172094
EAS,NEU,graphwavenet_transfer,1000,28,2.2732360728673333,0.2965470755678479,0.04193485977802348,0.005550881819567282
EAS,NWN,graphwavenet_transfer,183,36,2.4146157159615216,0.22242819021271384,0.11925039907913207,0.009317876908746471
EAS,SAU,graphwavenet_transfer,351,13,1.8894487241540558,0.21967707495571254,0.010031564163385041,0.002511434780614956
EAS,WCE,graphwavenet_transfer,1000,17,2.176230420201463,0.2895126064728091,0.026548956590369047,-0.0008407659957219037
EAS,WNA,graphwavenet_transfer,975,17,1.9789139713584918,0.21928460688363483,0.047375429892178834,0.0075708646003359945
EAU,CNA,graphwavenet_transfer,438,14,2.1565617081993405,0.17516697946496385,0.17987853976554163,0.026873231589592712
EAU,EAS,graphwavenet_transfer,110,16,6.144704862845285,0.23139221266707585,0.018139159631872077,0.005594048190079769
EAU,EAU,graphwavenet_transfer,241,6,2.7910721508046468,0.20729114675770205,0.0,0.0
EAU,ENA,graphwavenet_transfer,522,21,3.184761455296658,0.27038375091072486,0.25642934094474706,0.0388951072617343
EAU,MED,graphwavenet_transfer,328,19,1.710701472153922,0.1689931058953239,0.00019132132129918685,-0.000859493913926741
EAU,NCA,graphwavenet_transfer,144,7,1.0252547159321095,0.09624444936188092,0.011451937119356461,0.002452743533217063
EAU,NEU,graphwavenet_transfer,1000,28,2.2627532945329816,0.29915755915848186,0.031452081443671544,0.00816136541020128
EAU,NWN,graphwavenet_transfer,183,36,2.464779472169353,0.23369379023069686,0.16941415528696366,0.020583476926729488
EAU,SAU,graphwavenet_transfer,351,13,1.8788098232089516,0.21710996266707633,-0.0006073367817193657,-5.567750802126954e-05
EAU,WCE,graphwavenet_transfer,1000,17,2.156812792196792,0.29161962014923015,0.007131328585698214,0.0012662476806991826
EAU,WNA,graphwavenet_transfer,975,17,1.9972757592640162,0.2242601226410334,0.06573721779770358,0.012546380357734576
ENA,CNA,graphwavenet_transfer,438,14,1.992257382410872,0.15105328206839086,0.015574213977073216,0.0027595341930197158
ENA,EAS,graphwavenet_transfer,110,16,6.312920881986069,0.26327323121831153,0.1863551787726569,0.037475066741315434
ENA,EAU,graphwavenet_transfer,241,6,2.8391080976002594,0.21681111538005585,0.04803594679561285,0.009519968622353797
ENA,ENA,graphwavenet_transfer,522,21,2.9283321143519117,0.2314886436489906,0.0,0.0
ENA,MED,graphwavenet_transfer,328,19,1.7589124741381692,0.17788641842021763,0.04840232330554629,0.008033818610966996
ENA,NCA,graphwavenet_transfer,144,7,1.0235691004252676,0.09738986532250193,0.009766321612514471,0.003598159493838072
ENA,NEU,graphwavenet_transfer,1000,28,2.3386941474103504,0.32034035072912825,0.10739293432104029,0.029344156980847698
ENA,NWN,graphwavenet_transfer,183,36,2.454605691332013,0.23890171409008212,0.15924037444962372,0.025791400786114735
ENA,SAU,graphwavenet_transfer,351,13,1.9218581216685446,0.22965447565227098,0.04244096167787364,0.012488835477173423
ENA,WCE,graphwavenet_transfer,1000,17,2.2160571468403196,0.3074254699022827,0.06637568322922549,0.01707209743375173
ENA,WNA,graphwavenet_transfer,975,17,2.0183229484610012,0.23160039662754187,0.08678440699468863,0.01988665434424303
MED,CNA,graphwavenet_transfer,438,14,2.181830274214251,0.18446343829049686,0.20514710578045245,0.03616969041512569
MED,EAS,graphwavenet_transfer,110,16,6.127586389059651,0.22456768748718675,0.0010206858462379765,-0.001230476989809337
MED,EAU,graphwavenet_transfer,241,6,2.804207972720104,0.2115745688517426,0.013135821915457318,0.004283422094040548
MED,ENA,graphwavenet_transfer,522,21,3.205055305561445,0.2776167059495938,0.2767231912095338,0.04612806230060323
MED,MED,graphwavenet_transfer,328,19,1.710510150832623,0.16985259980925066,0.0,0.0
MED,NCA,graphwavenet_transfer,144,7,1.028294857822466,0.09751751354651525,0.01449207900971282,0.003725807717851397
MED,NEU,graphwavenet_transfer,1000,28,2.2446288680075788,0.2930478614830492,0.013327654918268667,0.0020516677347686097
MED,NWN,graphwavenet_transfer,183,36,2.4107779259139455,0.21977160540448482,0.11541260903155616,0.006661292100517442
MED,SAU,graphwavenet_transfer,351,13,1.8808046273782104,0.21961279338483294,0.00138746738753947,0.0024471532097353715
MED,WCE,graphwavenet_transfer,1000,17,2.1560202861477293,0.28881861939462383,0.0063388225366354314,-0.0015347530739071404
MED,WNA,graphwavenet_transfer,975,17,1.9696652347109627,0.21668581685671137,0.03812669324464996,0.0049720745734125535
NCA,CNA,graphwavenet_transfer,438,14,2.108443643287878,0.16523203756647348,0.13176047485407938,0.016938289691102323
NCA,EAS,graphwavenet_transfer,110,16,6.237447411785683,0.23881258467002134,0.11088170857227146,0.013014420193025225
NCA,EAU,graphwavenet_transfer,241,6,2.8189441004748934,0.2112535169375545,0.027871949670246678,0.003962370179852456
NCA,ENA,graphwavenet_transfer,522,21,3.080900996576013,0.2497397595708252,0.15256888222410156,0.018251115921834628
NCA,MED,graphwavenet_transfer,328,19,1.7386641920318635,0.17226309645181692,0.028154041199240518,0.0024104966425662813
NCA,NCA,graphwavenet_transfer,144,7,1.013802778812753,0.09379170582866386,0.0,0.0
NCA,NEU,graphwavenet_transfer,1000,28,2.345922660099596,0.30253907637714705,0.11462144701028593,0.011542882628866527
NCA,NWN,graphwavenet_transfer,183,36,2.4228948087531137,0.22661963800752258,0.12752949187072465,0.013509324703555219
NCA,SAU,graphwavenet_transfer,351,13,1.918453746142975,0.2224014313171963,0.0390365861523041,0.0052357911420987426
NCA,WCE,graphwavenet_transfer,1000,17,2.2361017498411133,0.2974263285726934,0.08642028623001967,0.007072956104162428
NCA,WNA,graphwavenet_transfer,975,17,1.994178446230967,0.22194914010157726,0.06263990476465424,0.010235397818278424
NEU,CNA,graphwavenet_transfer,438,14,2.195121475808961,0.19154469587407913,0.21843830737516232,0.04325094799870798
NEU,EAS,graphwavenet_transfer,110,16,6.170497906891728,0.2279554878227503,0.043932203678315906,0.0021573233457541905
NEU,EAU,graphwavenet_transfer,241,6,2.8203856277965573,0.21776592867103897,0.02931347699191067,0.01047478191333691
NEU,ENA,graphwavenet_transfer,522,21,3.209257766515809,0.28770310799674687,0.2809256521638979,0.0562144643477563
NEU,MED,graphwavenet_transfer,328,19,1.7180896748065544,0.17301637108214926,0.0075795239739313396,0.003163771272898599
NEU,NCA,graphwavenet_transfer,144,7,1.0428511383207342,0.10124113661566825,0.02904835950798102,0.007449430787004387
NEU,NEU,graphwavenet_transfer,1000,28,2.2313012130893104,0.29099619374828056,0.0,0.0
NEU,NWN,graphwavenet_transfer,183,36,2.429581291648889,0.21958570178566883,0.13421597476649946,0.0064753884817014586
NEU,SAU,graphwavenet_transfer,351,13,1.89256203411342,0.22501967002150897,0.013144874122748906,0.007854029846411401
NEU,WCE,graphwavenet_transfer,1000,17,2.1464176439308575,0.28971182443364646,-0.003263819680236311,-0.0006415480348844958
NEU,WNA,graphwavenet_transfer,975,17,1.9945365431820539,0.21684511767254558,0.062998001715741,0.0051313753892467595
NWN,CNA,graphwavenet_transfer,438,14,2.2158771884793738,0.18476460910151463,0.23919402004557494,0.0364708612261435
NWN,EAS,graphwavenet_transfer,110,16,6.213047852101162,0.22825855937458167,0.08648214888774924,0.002460394897585572
NWN,EAU,graphwavenet_transfer,241,6,2.8600106865268544,0.21704403645102202,0.06893853572220755,0.00975288969331998
NWN,ENA,graphwavenet_transfer,522,21,3.2035485620172364,0.2697221226335503,0.27521644766532494,0.03823347898455966
NWN,MED,graphwavenet_transfer,328,19,1.7398164455929455,0.17293383692340497,0.02930629476032235,0.0030812371141543246
NWN,NCA,graphwavenet_transfer,144,7,1.0409892542112003,0.10005711190395766,0.027186475398447315,0.0062654060752937914
NWN,NEU,graphwavenet_transfer,1000,28,2.2648278950708205,0.29367821031583835,0.03352668198151039,0.002682016567557772
NWN,NWN,graphwavenet_transfer,183,36,2.2953653168823895,0.21311031330396737,0.0,0.0
