source_region,target_region,model,n_stations,n_cells,mae_mean,brier_mean,mae_out_minus_in_mean,brier_out_minus_in_mean
CNA,CNA,linear_window,438,14,2.157331785402099,0.1847471288060898,0.0,0.0
CNA,CNA,patchtst_small,438,14,2.154874586588962,0.1847471288060898,0.0,0.0
CNA,EAS,linear_window,110,16,6.027438958430516,0.30127017132216977,0.055252206997472686,0.06131069344502309
CNA,EAS,patchtst_small,110,16,6.026479794321453,0.30127017132216977,0.009102221919547312,0.05959899994629733
CNA,EAU,linear_window,241,6,2.7871667600509733,0.2421968547619126,-0.02023259242940025,0.010455396595162626
CNA,EAU,patchtst_small,241,6,2.785433355268109,0.2421968547619126,-0.031659586275107204,0.010703677167504541
CNA,ENA,linear_window,522,21,3.2080827822508025,0.28627370368012195,0.028348988658608573,0.0030325584039783697
CNA,ENA,patchtst_small,522,21,3.206850160164455,0.28627370368012195,0.028567500226717252,0.0030325584039783697
CNA,MED,linear_window,328,19,1.7560963235665765,0.18160807646261684,0.03269499046472623,0.006546495003246476
CNA,MED,patchtst_small,328,19,1.753887558202182,0.18160807646261684,0.031321049278561025,0.007077422323772417
CNA,NCA,linear_window,144,7,1.0410236871570624,0.10332800217465916,0.03180410686317498,-0.003159421006607499
CNA,NCA,patchtst_small,144,7,1.0372919730679553,0.10332800217465916,0.027161350132434234,-0.003159421006607499
CNA,NEU,linear_window,1000,28,2.4058649368705987,0.3518759684349098,0.15653103102906915,0.05074159133642366
CNA,NEU,patchtst_small,1000,28,2.40517469394182,0.3518759684349098,0.1549171746835611,0.05145961656887003
CNA,NWN,linear_window,183,36,2.6131861247779518,0.28517231121402636,0.22711768865654017,0.06005332331972083
CNA,NWN,patchtst_small,183,36,2.612435175784429,0.28517231121402636,0.22096221740118546,0.05978310320360534
CNA,SAU,linear_window,351,13,1.9516185716407732,0.2454518151669326,0.040354409754268565,0.01832029489144975
CNA,SAU,patchtst_small,351,13,1.9495599574339482,0.2454518151669326,0.03483651476888904,0.018531345007930876
CNA,WCE,linear_window,1000,17,2.2312245220129654,0.3217535407797769,0.03898142764296598,0.025654351085683674
CNA,WCE,patchtst_small,1000,17,2.23022217535062,0.3217535407797769,0.03673769145431087,0.02635889969515784
CNA,WNA,linear_window,975,17,2.0128077093017693,0.2525556201224815,-0.0036184972809820363,0.02891496799140077
CNA,WNA,patchtst_small,975,17,2.011054876441651,0.2525556201224815,-0.005502089392287656,0.028179477222476254
EAS,CNA,linear_window,438,14,2.1501107471437595,0.20338011248876167,-0.0072210382583394106,0.018632983682671887
EAS,CNA,patchtst_small,438,14,2.1356307764962734,0.19440140882955473,-0.01924381009268834,0.009654280023464966
EAS,EAS,linear_window,110,16,5.972186751433044,0.2399594778771466,0.0,0.0
EAS,EAS,patchtst_small,110,16,6.017377572401906,0.24167117137587238,0.0,0.0
EAS,EAU,linear_window,241,6,2.767392810630834,0.22979597990994394,-0.04000654184953921,-0.0019454782568060673
EAS,EAU,patchtst_small,241,6,2.7618764393933914,0.2266000794974596,-0.0552165021498251,-0.004893098096948463
EAS,ENA,linear_window,522,21,3.1862215035179657,0.29817010911228725,0.00648770992577144,0.014928963836143706
EAS,ENA,patchtst_small,522,21,3.1731844908847204,0.2869295315098345,-0.00509816905301708,0.00368838623369102
EAS,MED,linear_window,328,19,1.6947493458543879,0.18406540497321033,-0.028651987247462516,0.009003823513839953
EAS,MED,patchtst_small,328,19,1.6918011929627055,0.18112454401888706,-0.030765315960915286,0.006593889880042623
EAS,NCA,linear_window,144,7,1.1220121050701828,0.11648019276636906,0.11279252477629546,0.009992769585102399
EAS,NCA,patchtst_small,144,7,1.116946776804867,0.1105604340255091,0.10681615386934613,0.004073010844242432
EAS,NEU,linear_window,1000,28,2.244223538393324,0.30550780886919554,-0.005110367448206004,0.004373431770709418
EAS,NEU,patchtst_small,1000,28,2.2680132072795307,0.32059133693898856,0.017755688021271695,0.02017498507294882
EAS,NWN,linear_window,183,36,2.4425867023873877,0.23123363406209982,0.05651826626597629,0.006114646167794257
EAS,NWN,patchtst_small,183,36,2.4367979727543174,0.237721046671636,0.04532501437107405,0.01233183866121496
EAS,SAU,linear_window,351,13,1.9339230055888192,0.22988040202461582,0.0226588437023148,0.002748881749132962
EAS,SAU,patchtst_small,351,13,1.9309626763828496,0.23066232854077837,0.016239233717790517,0.0037418583817766557
EAS,WCE,linear_window,1000,17,2.145538409113102,0.30053798152155164,-0.04670468525689761,0.004438791827458455
EAS,WCE,patchtst_small,1000,17,2.153027682861786,0.3025709471957269,-0.04045680103452317,0.007176306111107827
EAS,WNA,linear_window,975,17,1.971318895941046,0.2297936423721324,-0.04510731064170533,0.006152990241051673
EAS,WNA,patchtst_small,975,17,1.977570647135902,0.2333397012510201,-0.038986318698036655,0.00896355835101485
EAU,CNA,linear_window,438,14,2.228121905370354,0.18883850526392415,0.0707901199682552,0.0040913764578343545
EAU,CNA,patchtst_small,438,14,2.2255899198214597,0.18738066922198515,0.07071533323249819,0.002633540415895393
EAU,EAS,linear_window,110,16,6.895361600300082,0.2574852664958031,0.9231748488670377,0.017525788618656463
EAU,EAS,patchtst_small,110,16,6.968763369026168,0.26308836755798026,0.9513857966242625,0.021417196182107863
EAU,EAU,linear_window,241,6,2.8073993524803735,0.23174145816675001,0.0,0.0
EAU,EAU,patchtst_small,241,6,2.8170929415432164,0.23149317759440807,0.0,0.0
EAU,ENA,linear_window,522,21,3.184624786283837,0.28432130903119246,0.004890992691642958,0.0010801637550489518
EAU,ENA,patchtst_small,522,21,3.1762056458969594,0.28421012393425626,-0.002077014040778181,0.0009689786581127155
EAU,MED,linear_window,328,19,1.678600234468056,0.177084029730077,-0.044801098633794154,0.002022448270706636
EAU,MED,patchtst_small,328,19,1.6807121905642923,0.17626091198114655,-0.041854318359328575,0.0017302578423021206
EAU,NCA,linear_window,144,7,0.8893969307634383,0.09930438205293773,-0.1198226495304492,-0.007183041128328934
EAU,NCA,patchtst_small,144,7,0.8881505827280765,0.09819199927265415,-0.12198004020744456,-0.008295423908612525
EAU,NEU,linear_window,1000,28,2.2831809525346958,0.3243690443684443,0.03384704669316584,0.023234667269958226
EAU,NEU,patchtst_small,1000,28,2.286430318297567,0.327123541481485,0.03617279903930787,0.026707189615445246
EAU,NWN,linear_window,183,36,2.3677858956150972,0.24752570587496842,-0.01828254050631427,0.022406717980662866
EAU,NWN,patchtst_small,183,36,2.403962490368997,0.2543110299644315,0.012489531985753416,0.028921821954010458
EAU,SAU,linear_window,351,13,1.8496081666293025,0.23514200670881308,-0.061655995257201814,0.008010486433330261
EAU,SAU,patchtst_small,351,13,1.8549929695216247,0.23721958794072473,-0.059730473143434326,0.010299117781723011
EAU,WCE,linear_window,1000,17,2.165964774632949,0.30900369239140785,-0.026278319737050387,0.012904502697314644
EAU,WCE,patchtst_small,1000,17,2.1631509322495797,0.3093461472295847,-0.030333551646729837,0.01395150614496561
EAU,WNA,linear_window,975,17,2.0069191115983736,0.2330674861632196,-0.009507094984377717,0.009426834032138858
EAU,WNA,patchtst_small,975,17,2.024249813334342,0.23479719266353902,0.007692847500403401,0.010421049763533806
ENA,CNA,linear_window,438,14,2.1859134712258146,0.1820836301471545,0.028581685823715838,-0.0026634986589352382
ENA,CNA,patchtst_small,438,14,2.185019209926924,0.1820836301471545,0.03014462333796191,-0.0026634986589352382
ENA,EAS,linear_window,110,16,6.835887432632474,0.30500546696024033,0.8637006811994301,0.06504598908309371
ENA,EAS,patchtst_small,110,16,6.849603698544686,0.30533534229011566,0.8322261261427808,0.06366417091424328
ENA,EAU,linear_window,241,6,2.9527143421320896,0.2399979929771758,0.14531498965171624,0.008256534810425795
ENA,EAU,patchtst_small,241,6,2.955260321049636,0.24009919730872117,0.13816737950641986,0.0086060197143131
ENA,ENA,linear_window,522,21,3.1797337935921943,0.2832411452761435,0.0,0.0
ENA,ENA,patchtst_small,522,21,3.1782826599377376,0.2832411452761435,0.0,0.0
ENA,MED,linear_window,328,19,1.6420752867335364,0.18490944166436674,-0.08132604636831393,0.009847860204996357
ENA,MED,patchtst_small,328,19,1.6429937640852958,0.18490944166436674,-0.07957274483832505,0.010378787525522296
ENA,NCA,linear_window,144,7,1.1066092556686191,0.09975988344002489,0.0973896753747318,-0.006727539741241788
ENA,NCA,patchtst_small,144,7,1.1076242835341956,0.09975988344002489,0.09749366059867476,-0.006727539741241788
ENA,NEU,linear_window,1000,28,2.4308674827105357,0.35327889756522796,0.1815335768690057,0.052144520466741846
ENA,NEU,patchtst_small,1000,28,2.436033431370615,0.35327889756522796,0.18577591211235567,0.05286254569918821
ENA,NWN,linear_window,183,36,2.3676796844402936,0.2883109673761076,-0.01838875168111788,0.0631919794818021
ENA,NWN,patchtst_small,183,36,2.3746221175401976,0.28810079503478775,-0.016850840843045767,0.06271158702436672
ENA,SAU,linear_window,351,13,1.8087333425327188,0.23907946848556907,-0.1025308193537857,0.011947948210086226
ENA,SAU,patchtst_small,351,13,1.8108658332593435,0.23907946848556907,-0.10385760940571537,0.01215899832656735
ENA,WCE,linear_window,1000,17,2.2570976508802714,0.32488144025972354,0.06485455651027183,0.0287822505656303
ENA,WCE,patchtst_small,1000,17,2.2596770063239413,0.32488144025972354,0.06619252242763249,0.029486799175104463
ENA,WNA,linear_window,975,17,2.050732581530747,0.25431507749762605,0.034306374947995724,0.030674425366545337
ENA,WNA,patchtst_small,975,17,2.0533607403838383,0.25431507749762605,0.03680377454989968,0.029938934597620825
MED,CNA,linear_window,438,14,2.2135659257966256,0.1978916217532881,0.05623414039452656,0.013144492947198314
MED,CNA,patchtst_small,438,14,2.207634624297343,0.1964912859115411,0.05276003770838109,0.011744157105451321
MED,EAS,linear_window,110,16,5.81331725084305,0.24315786731794414,-0.15886950058999427,0.003198389440797507
MED,EAS,patchtst_small,110,16,5.84436525767706,0.24548515457551592,-0.1730123147248464,0.003813983199643553
MED,EAU,linear_window,241,6,2.878089799363696,0.22349023705853027,0.07069044688332256,-0.008251221108219714
MED,EAU,patchtst_small,241,6,2.883054564432888,0.22446562324935868,0.06596162288967145,-0.007027554345049422
MED,ENA,linear_window,522,21,3.3695647351968794,0.29565073959981925,0.189830941604685,0.012409594323675714
MED,ENA,patchtst_small,522,21,3.362689396751692,0.29203941489612745,0.1844067368139544,0.008798269619983886
MED,MED,linear_window,328,19,1.72340133310185,0.17506158145937037,0.0,0.0
MED,MED,patchtst_small,328,19,1.7225665089236208,0.17453065413884442,0.0,0.0
MED,NCA,linear_window,144,7,1.0948574853705197,0.11085148136316941,0.08563790507663233,0.0043640581819027364
MED,NCA,patchtst_small,144,7,1.0907204108293316,0.11040134698726843,0.08058978789381056,0.003913923806001762
MED,NEU,linear_window,1000,28,2.2913678267394193,0.3129314867435001,0.04203392089788947,0.011797109645013988
MED,NEU,patchtst_small,1000,28,2.3037398642407854,0.31914960228423833,0.05348234498252581,0.01873325041819858
MED,NWN,linear_window,183,36,2.5806930143202576,0.23920773682054497,0.19462457819884607,0.014088748926239406
MED,NWN,patchtst_small,183,36,2.604571147430485,0.24020580483704998,0.21309818904724157,0.014816596826628952
MED,SAU,linear_window,351,13,1.9311659230350449,0.22909572601526243,0.019901761148540434,0.001964205739779589
MED,SAU,patchtst_small,351,13,1.9302385416090928,0.23089320383219172,0.015515098944033703,0.003972733673190027
MED,WCE,linear_window,1000,17,2.1873382965954518,0.29910914627865254,-0.004904797774547986,0.0030099565845593187
MED,WCE,patchtst_small,1000,17,2.1919688554121266,0.30128083426890756,-0.001515628484182455,0.005886193184288467
MED,WNA,linear_window,975,17,2.0011084894422577,0.22673066292538233,-0.015317717140493464,0.0030900107943016104
