source_region,target_region,model,n_stations,n_cells,mae_mean,brier_mean,mae_out_minus_in_mean,brier_out_minus_in_mean
CNA,CNA,spatial_knn_ridge,438,14,2.354317142268962,0.20174267132258838,0.0,0.0
CNA,EAS,spatial_knn_ridge,110,16,6.226621407794759,0.23690016714426898,-0.030822527620732575,-0.00912794010094493
CNA,EAU,spatial_knn_ridge,241,6,2.975459789870345,0.2288170370783995,-0.015357418089997096,-0.003110194124229131
CNA,ENA,spatial_knn_ridge,522,21,3.314992427761844,0.2950640764066543,-0.08322906881515008,-0.015065547596413006
CNA,MED,spatial_knn_ridge,328,19,1.8898979668679092,0.18584829781974668,0.018698454719563173,-0.0004163701569165246
CNA,NCA,spatial_knn_ridge,144,7,1.254924600671786,0.11032178894944632,0.11189140001925077,-0.0001872964057664373
CNA,NEU,spatial_knn_ridge,1000,29,2.2576942627770085,0.29776772415732206,-0.05957421017044984,-0.0058911071753933045
CNA,NWN,spatial_knn_ridge,183,36,2.586837210402184,0.24066136521406598,0.07102155213958514,-0.004242394263347704
CNA,SAU,spatial_knn_ridge,351,13,2.0103481838990396,0.23715346480011257,-0.025618185301391882,-0.0008052118774682747
CNA,WCE,spatial_knn_ridge,1000,15,2.1703664911886835,0.29632909001249347,-0.07232405698093917,-0.006995458449862535
CNA,WNA,spatial_knn_ridge,975,17,2.1754620439960086,0.22640261342226659,0.024299192328241816,-0.004944674270334199
EAS,CNA,spatial_knn_ridge,438,14,2.5142002040630276,0.22966315005449253,0.15988306179406556,0.027920478731904168
EAS,EAS,spatial_knn_ridge,110,16,6.25744393541549,0.24602810724521393,0.0,0.0
EAS,EAU,spatial_knn_ridge,241,6,3.0833394558916507,0.2448893145950764,0.09252224793130855,0.01296208339244779
EAS,ENA,spatial_knn_ridge,522,21,3.4717733169749994,0.32336882792379606,0.07355182039800504,0.013239203920728752
EAS,MED,spatial_knn_ridge,328,19,2.004340267684721,0.1993903328555027,0.13314075553637506,0.013125664878839515
EAS,NCA,spatial_knn_ridge,144,7,1.391074226886403,0.12720971156670247,0.2480410262338678,0.016700626211489714
EAS,NEU,spatial_knn_ridge,1000,29,2.318443542048684,0.30592302141952943,0.0011750691012253798,0.002264190086814094
EAS,NWN,spatial_knn_ridge,183,36,2.6050728843849136,0.25387377612464695,0.08925722612231485,0.00897001664723325
EAS,SAU,spatial_knn_ridge,351,13,2.127546588293642,0.2563474739455615,0.09158021909321054,0.018388797267980605
EAS,WCE,spatial_knn_ridge,1000,15,2.2595941732430025,0.3079096254595944,0.0169036250733798,0.004585076997238416
EAS,WNA,spatial_knn_ridge,975,17,2.2330991341176563,0.23630460844112364,0.08193628244988953,0.004957320748522843
EAU,CNA,spatial_knn_ridge,438,14,2.391322684358986,0.2114513780087767,0.03700554209002426,0.009708706686188298
EAU,EAS,spatial_knn_ridge,110,16,6.211209043662814,0.23500030906127364,-0.04623489175267745,-0.011027798183940268
EAU,EAU,spatial_knn_ridge,241,6,2.9908172079603426,0.23192723120262862,0.0,0.0
EAU,ENA,spatial_knn_ridge,522,21,3.3542167681490596,0.30501034520550835,-0.04400472842793474,-0.0051192787975589535
EAU,MED,spatial_knn_ridge,328,19,1.9054933104318803,0.18644283463252315,0.03429379828353422,0.0001781666558599486
EAU,NCA,spatial_knn_ridge,144,7,1.278177666419938,0.1141199778337912,0.1351444657674027,0.003610892478578443
EAU,NEU,spatial_knn_ridge,1000,29,2.261325103822037,0.29783081067059225,-0.05594336912542158,-0.005828020662123054
EAU,NWN,spatial_knn_ridge,183,36,2.5670836131134838,0.23524552902332715,0.05126795485088509,-0.009658230454086519
EAU,SAU,spatial_knn_ridge,351,13,2.029051874884784,0.2400342769968544,-0.006914494315647593,0.002075600319273519
EAU,WCE,spatial_knn_ridge,1000,15,2.1828224730712544,0.2975162276626518,-0.05986807509836804,-0.0058083207997041975
EAU,WNA,spatial_knn_ridge,975,17,2.173680442221591,0.224862828578356,0.022517590553824234,-0.006484459114244784
ENA,CNA,spatial_knn_ridge,438,14,2.4797892171930775,0.21662800909611088,0.12547207492411525,0.014885337773522507
ENA,EAS,spatial_knn_ridge,110,16,6.334607346545693,0.24639002446446792,0.07716341113020116,0.00036191721925399323
ENA,EAU,spatial_knn_ridge,241,6,3.089324092958761,0.24048788702680524,0.09850688499841875,0.008560655824176613
ENA,ENA,spatial_knn_ridge,522,21,3.398221496576994,0.31012962400306726,0.0,0.0
ENA,MED,spatial_knn_ridge,328,19,2.0203626641662202,0.19869387348039477,0.14916315201787408,0.012429205503731557
ENA,NCA,spatial_knn_ridge,144,7,1.420174718977201,0.1216786444582314,0.27714151832466577,0.01116955910301864
ENA,NEU,spatial_knn_ridge,1000,29,2.3213264372725533,0.30581961453393547,0.004057964325095237,0.002160783201220138
ENA,NWN,spatial_knn_ridge,183,36,2.683210691551645,0.2586310630480621,0.16739503328904629,0.013727303570648431
ENA,SAU,spatial_knn_ridge,351,13,2.117265588204559,0.25292245026960086,0.08129921900412737,0.01496377359201999
ENA,WCE,spatial_knn_ridge,1000,15,2.2437538455448265,0.3064566321031472,0.0010632973752038978,0.003132083640791247
