source_region,target_region,model,n_stations,n_cells,mae_mean,brier_mean,mae_out_minus_in_mean,brier_out_minus_in_mean
CNA,CNA,stgcn_diffusion,438,14,2.075368274526489,0.16183937109639737,0.0,0.0
CNA,EAS,stgcn_diffusion,110,16,6.323004874225662,0.24262185035576606,0.16263791392651866,0.01743926896773422
CNA,EAU,stgcn_diffusion,241,6,2.820816504807183,0.2116145441873659,0.03135615707718721,0.0029173615867715192
CNA,ENA,stgcn_diffusion,522,21,3.0781647397746394,0.25355120699074213,0.008910999035154613,0.0028992839075471675
CNA,MED,stgcn_diffusion,328,19,1.7494986165956652,0.17707488193977242,0.03684776900763691,0.006985048035684352
CNA,NCA,stgcn_diffusion,144,7,1.0241449974407226,0.09685987686972439,-0.0009127864932133018,0.0011816024393288664
CNA,NEU,stgcn_diffusion,1000,28,2.327821506582568,0.3192191997805595,0.09420200250063139,0.027388550538227523
CNA,NWN,stgcn_diffusion,183,36,2.519360705218838,0.252368533047139,0.16848631053447932,0.032557630757784846
CNA,SAU,stgcn_diffusion,351,13,1.9089391465833256,0.22390039505062684,0.026185588076505048,0.005251630594109283
CNA,WCE,stgcn_diffusion,1000,17,2.1980078759921042,0.3026687642069825,0.04849461949804714,0.012717452332890502
CNA,WNA,stgcn_diffusion,975,17,2.03507485705866,0.23572640016832222,0.07451541088019024,0.019786343032956698
EAS,CNA,stgcn_diffusion,438,14,2.1724490905641236,0.18086868007561432,0.0970808160376345,0.019029308979216935
EAS,EAS,stgcn_diffusion,110,16,6.160366960299143,0.22518258138803185,0.0,0.0
EAS,EAU,stgcn_diffusion,241,6,2.8018339423436025,0.21146752760300183,0.012373594613606638,0.0027703450024074653
EAS,ENA,stgcn_diffusion,522,21,3.1946619811514916,0.27390225315785055,0.1254082404120068,0.02325033007465562
EAS,MED,stgcn_diffusion,328,19,1.712450112154157,0.16948693817649568,-0.0002007354338713582,-0.0006028957275924182
EAS,NCA,stgcn_diffusion,144,7,1.0288535888424677,0.09708897828007906,0.0037958049085319995,0.0014107038496835441
EAS,NEU,stgcn_diffusion,1000,28,2.2825104733454373,0.3051824944138028,0.04889096926350062,0.013351845171470764
EAS,NWN,stgcn_diffusion,183,36,2.4843355075883733,0.23839826207819972,0.13346111290401486,0.018587359788845566
EAS,SAU,stgcn_diffusion,351,13,1.8855365166014768,0.21991794939256262,0.0027829580946561556,0.0012691849360450629
EAS,WCE,stgcn_diffusion,1000,17,2.163158665179326,0.29226219599710734,0.013645408685268697,0.002310884123015347
EAS,WNA,stgcn_diffusion,975,17,2.002507658829635,0.22606151006696198,0.04194821265116522,0.010121452931596482
EAU,CNA,stgcn_diffusion,438,14,2.1571756471208414,0.17568500028003792,0.0818073725943521,0.013845629183640558
EAU,EAS,stgcn_diffusion,110,16,6.167950419686761,0.22644295752973234,0.007583459387618495,0.0012603761417004761
EAU,EAU,stgcn_diffusion,241,6,2.789460347729996,0.20869718260059436,0.0,0.0
EAU,ENA,stgcn_diffusion,522,21,3.1839916451278367,0.27161342411377937,0.11473790438835244,0.020961501030584397
EAU,MED,stgcn_diffusion,328,19,1.7101109042468365,0.16887132732817617,-0.0025399433411917587,-0.0012185065759119293
EAU,NCA,stgcn_diffusion,144,7,1.025795112413249,0.09609547984643525,0.0007373284793132306,0.0004172054160397251
EAU,NEU,stgcn_diffusion,1000,28,2.2656858826004735,0.30006502022640413,0.032066378518537136,0.008234370984072138
EAU,NWN,stgcn_diffusion,183,36,2.4714906702742367,0.23642806456018095,0.12061627558987859,0.016617162270826828
EAU,SAU,stgcn_diffusion,351,13,1.883085125957074,0.2188551003248732,0.00033156745025355574,0.00020633586835560875
EAU,WCE,stgcn_diffusion,1000,17,2.1566048564774136,0.29011475474196896,0.007091599983356553,0.00016344286787693565
EAU,WNA,stgcn_diffusion,975,17,1.99500459190485,0.22470405175894045,0.034445145726380216,0.008763994623574948
ENA,CNA,stgcn_diffusion,438,14,2.102570193811781,0.16456345699969815,0.027201919285291594,0.0027240859033007972
ENA,EAS,stgcn_diffusion,110,16,6.326642804207045,0.24559284951127483,0.16627584390790104,0.020410268123242977
ENA,EAU,stgcn_diffusion,241,6,2.863961379844483,0.21722308645383384,0.07450103211448705,0.008525903853239479
ENA,ENA,stgcn_diffusion,522,21,3.0692537407394846,0.25065192308319495,0.0,0.0
ENA,MED,stgcn_diffusion,328,19,1.7567005805742129,0.179711363469639,0.04404973298618456,0.009621529565550912
