forecast_model,feature_set,cv_kind,estimator,n,n_features,mae,r2
graphwavenet_transfer,physical_knowledge,leave_target_region_out,ridge,52920,12,0.09472455571981248,0.07884949985062817
graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,52920,12,0.08170472312083382,0.16823541158110555
graphwavenet_transfer,generic_shift,leave_target_region_out,ridge,52920,11,0.10368291693137037,-0.11153553746206502
graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,52920,11,0.09544163963218863,-0.13532584688140403
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,ridge,52920,23,0.09584625000576667,0.03946145542696455
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,random_forest,52920,23,0.07635502702484198,0.17928053606165895
graphwavenet_transfer,physical_knowledge,group_by_cell,ridge,52920,12,0.09397370292657899,0.1310318556955653
graphwavenet_transfer,physical_knowledge,group_by_cell,random_forest,52920,12,0.07599752895591015,0.2991258838206601
graphwavenet_transfer,generic_shift,group_by_cell,ridge,52920,11,0.09226090311539158,0.003913772798401993
graphwavenet_transfer,generic_shift,group_by_cell,random_forest,52920,11,0.08104093383397655,0.13058912424736957
graphwavenet_transfer,physical_plus_shift,group_by_cell,ridge,52920,23,0.09217378237198287,0.12420063330928621
graphwavenet_transfer,physical_plus_shift,group_by_cell,random_forest,52920,23,0.06180417724855504,0.39286394226866517
linear_window,physical_knowledge,leave_target_region_out,ridge,52920,12,1.1340350200293172,-0.0026715648581694396
linear_window,physical_knowledge,leave_target_region_out,random_forest,52920,12,1.1816705906555054,-0.10954688490641584
linear_window,generic_shift,leave_target_region_out,ridge,52920,11,1.1316723487325961,0.0002158972734703779
linear_window,generic_shift,leave_target_region_out,random_forest,52920,11,1.134788075560141,-0.002864653652528082
linear_window,physical_plus_shift,leave_target_region_out,ridge,52920,23,1.133002553303459,-0.0011145652509967352
linear_window,physical_plus_shift,leave_target_region_out,random_forest,52920,23,1.1803707387354867,-0.10693098990188554
linear_window,physical_knowledge,group_by_cell,ridge,52920,12,1.1348496397322987,-0.006363702036728203
linear_window,physical_knowledge,group_by_cell,random_forest,52920,12,1.2034130187694627,-0.23956394754395216
linear_window,generic_shift,group_by_cell,ridge,52920,11,1.1318366512494136,-0.00016983136762438455
linear_window,generic_shift,group_by_cell,random_forest,52920,11,1.1384645019053246,-0.018602682731883036
linear_window,physical_plus_shift,group_by_cell,ridge,52920,23,1.1344486258892847,-0.004773903040346639
linear_window,physical_plus_shift,group_by_cell,random_forest,52920,23,1.2040547895615226,-0.24552281724384928
patchtst_small,physical_knowledge,leave_target_region_out,ridge,52920,12,1.1384562250562342,-0.002534581377235945
patchtst_small,physical_knowledge,leave_target_region_out,random_forest,52920,12,1.1864916229306304,-0.11287001794379359
patchtst_small,generic_shift,leave_target_region_out,ridge,52920,11,1.1360346355945987,0.0002981028763286986
patchtst_small,generic_shift,leave_target_region_out,random_forest,52920,11,1.139126086015307,-0.002693446804044486
patchtst_small,physical_plus_shift,leave_target_region_out,ridge,52920,23,1.137492905677492,-0.0010064803621521179
patchtst_small,physical_plus_shift,leave_target_region_out,random_forest,52920,23,1.1852305304327453,-0.10785318995561366
patchtst_small,physical_knowledge,group_by_cell,ridge,52920,12,1.1396186718953134,-0.006687042890086703
patchtst_small,physical_knowledge,group_by_cell,random_forest,52920,12,1.2104873036963468,-0.2539493612446444
patchtst_small,generic_shift,group_by_cell,ridge,52920,11,1.13631328874607,-0.00015798910504005725
patchtst_small,generic_shift,group_by_cell,random_forest,52920,11,1.143054940894356,-0.01827060656136892
