forecast_model,feature_set,cv_kind,estimator,n,n_features,mae,r2,seed_label
graphwavenet_transfer,physical_knowledge,leave_target_region_out,ridge,5826,12,0.0948597531199912,-5.627483260542186,large_s1
graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,5826,12,0.0473731657854907,-1.0327792915807177,large_s1
graphwavenet_transfer,generic_shift,leave_target_region_out,ridge,5826,11,0.0870913996369792,-3.084989205513246,large_s1
graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,5826,11,0.0300020670594331,-0.0219905323079452,large_s1
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,ridge,5826,23,0.095120814707659,-5.5769146327907855,large_s1
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,random_forest,5826,23,0.048492166144863,-0.988979950324992,large_s1
graphwavenet_transfer,physical_knowledge,group_by_cell,ridge,5826,12,0.0368309512348405,0.05804109821543,large_s1
graphwavenet_transfer,physical_knowledge,group_by_cell,random_forest,5826,12,0.0251517902458172,0.577135493283004,large_s1
graphwavenet_transfer,generic_shift,group_by_cell,ridge,5826,11,0.0306641962168352,0.0007561133759005,large_s1
graphwavenet_transfer,generic_shift,group_by_cell,random_forest,5826,11,0.0302673265528261,0.0033253023571657,large_s1
graphwavenet_transfer,physical_plus_shift,group_by_cell,ridge,5826,23,0.0384819562936583,0.0403189088895238,large_s1
graphwavenet_transfer,physical_plus_shift,group_by_cell,random_forest,5826,23,0.0175567540011408,0.7174349591281839,large_s1
stgcn_diffusion,physical_knowledge,leave_target_region_out,ridge,5826,12,0.0478304814685863,-4.418552335981539,large_s1
stgcn_diffusion,physical_knowledge,leave_target_region_out,random_forest,5826,12,0.0242913667587622,-0.7996499423862293,large_s1
stgcn_diffusion,generic_shift,leave_target_region_out,ridge,5826,11,0.0630150877836576,-5.294408442641768,large_s1
stgcn_diffusion,generic_shift,leave_target_region_out,random_forest,5826,11,0.0211873202123852,-0.1373001398344453,large_s1
stgcn_diffusion,physical_plus_shift,leave_target_region_out,ridge,5826,23,0.0423566489324679,-3.452938401304253,large_s1
stgcn_diffusion,physical_plus_shift,leave_target_region_out,random_forest,5826,23,0.0298104817815434,-1.027675169283686,large_s1
stgcn_diffusion,physical_knowledge,group_by_cell,ridge,5826,12,0.0192308657730717,0.1631377298848745,large_s1
stgcn_diffusion,physical_knowledge,group_by_cell,random_forest,5826,12,0.0135111845573169,0.6013960843172097,large_s1
stgcn_diffusion,generic_shift,group_by_cell,ridge,5826,11,0.0182044126974274,0.0289591070260564,large_s1
stgcn_diffusion,generic_shift,group_by_cell,random_forest,5826,11,0.0183633464388694,0.0286275611756234,large_s1
stgcn_diffusion,physical_plus_shift,group_by_cell,ridge,5826,23,0.0200779966690488,0.167750886735884,large_s1
stgcn_diffusion,physical_plus_shift,group_by_cell,random_forest,5826,23,0.0106672695024689,0.7010660997676027,large_s1
graphwavenet_transfer,physical_knowledge,leave_target_region_out,ridge,5826,12,0.0304492165144554,-1.5948983247694577,large_s2
graphwavenet_transfer,physical_knowledge,leave_target_region_out,random_forest,5826,12,0.0211166900571586,-1.0593626477233085,large_s2
graphwavenet_transfer,generic_shift,leave_target_region_out,ridge,5826,11,0.0907021034976418,-14.463765323695412,large_s2
graphwavenet_transfer,generic_shift,leave_target_region_out,random_forest,5826,11,0.0178227680816068,-0.1888466349941591,large_s2
