model,source_region,target_region,n_seeds,degradation_mean,degradation_sd,degradation_min,degradation_max,mae_mean,brier_mean,degradation_se,degradation_ci95_halfwidth,expected_decision,conservative_decision,uncertainty_flag,risk_score
graphwavenet_transfer,WCE,NEU,3,0.0298683277818426,0.0065986165724728,0.0253058251146658,0.0374344081315409,2.263329249235026,0.2940682713309731,0.0038097130543963,0.0074670375866168,retrain,retrain,boundary_adapt_to_retrain,0.037335365368459404
graphwavenet_transfer,NEU,MED,3,0.0132737467244928,0.0109759947642413,0.0062307773804754,0.0259204655402962,2.0732540768850605,0.1892443699273661,0.0063369935317586,0.0124205073222469,adapt,retrain,boundary_deploy_to_retrain,0.025694254046739702
graphwavenet_transfer,MED,NEU,3,0.0167164454800053,0.0030747465139785,0.0135818985963966,0.0197276815255731,2.2501773669331886,0.2961095789317736,0.0017752057275353,0.0034794032259693,adapt,adapt,stable,0.0201958487059746
graphwavenet_transfer,NEU,WCE,3,0.0033114183068151,0.0088880819535181,-0.0020738246557634,0.0135702389321895,2.049865013474507,0.2903049056501913,0.0051315365084431,0.0100578115565486,deploy,adapt,boundary_deploy_to_adapt,0.0133692298633637
graphwavenet_transfer,WCE,MED,3,0.0096047307125051,0.0008095697029695,0.0088151007471093,0.0104328660066102,2.0695850608730733,0.1868971322431281,0.0004674052859372,0.000916114360437,deploy,adapt,boundary_deploy_to_adapt,0.010520845072942101
graphwavenet_transfer,MED,WCE,3,0.0010361076763359,0.0014129500416411,-0.0003387516575882,0.0024842930065138,2.047589702844028,0.2896141928272333,0.0008157670868929,0.0015989034903102,deploy,deploy,stable,0.0026350111666461
stgcn_diffusion,MED,NEU,3,0.0239938098259905,0.0023003752202195,0.0225237954233271,0.0266448074750468,2.263889884608592,0.2977417297442259,0.0013281222526308,0.0026031196151565,adapt,retrain,boundary_adapt_to_retrain,0.026596929441147
stgcn_diffusion,WCE,NEU,3,0.0177208712045326,0.0043303038761352,0.0149493064152815,0.0227108668453341,2.257616945987134,0.292967531295511,0.0025001021085595,0.0049002001327767,adapt,adapt,stable,0.022621071337309298
stgcn_diffusion,NEU,MED,3,0.012906745180891,0.003637274459744,0.010495131554835,0.0170904464320199,2.076991929590529,0.1906003849615451,0.0020999813884497,0.0041159635213615,adapt,adapt,boundary_deploy_to_adapt,0.0170227087022525
stgcn_diffusion,NEU,WCE,3,0.0046656142770724,0.0021824473763885,0.0031570778133325,0.0071681144311657,2.0499667445432515,0.2899090554883543,0.0012600365802501,0.0024696716972902,deploy,deploy,stable,0.0071352859743626
stgcn_diffusion,WCE,MED,3,0.0064161884075546,0.0003118075734414,0.0060846901035674,0.0067036159006597,2.070501372817193,0.1879073487277449,0.0001800221864617,0.000352843485465,deploy,deploy,stable,0.0067690318930196
stgcn_diffusion,MED,WCE,3,0.0034299693131789,0.0003470086560796,0.0031405501223211,0.0038146630880169,2.048731099579358,0.2879754395868587,0.0002003455409987,0.0003926772603575,deploy,deploy,stable,0.0038226465735364
