feature_set,cv_kind,model,n,n_features,log_loss,balanced_accuracy,macro_f1,brier_high
physical_knowledge,leave_target_region_out,logistic,14716,12,0.9908407796597087,0.5275433228695605,0.5240018452350199,0.055903824078087465
physical_knowledge,leave_target_region_out,random_forest,14716,12,1.3027892104672332,0.5798806900594852,0.5260677814678308,0.05276470712245063
generic_shift,leave_target_region_out,logistic,14716,11,3.649298077430179,0.43804490530078316,0.29192024035192565,0.20006085822818598
generic_shift,leave_target_region_out,random_forest,14716,11,1.8788710922887617,0.5034269992465489,0.46899469139215677,0.1416002508934104
physical_plus_shift,leave_target_region_out,logistic,14716,23,2.58230086418015,0.29494074823602495,0.29952739470266526,0.11855438871024816
physical_plus_shift,leave_target_region_out,random_forest,14716,23,2.0728696804792266,0.30870590349138455,0.28921614497355014,0.127207828082531
physical_knowledge,group_by_cell,logistic,14716,12,0.7531178915519647,0.6762211689463835,0.6437948301683776,0.04192813518581839
physical_knowledge,group_by_cell,random_forest,14716,12,0.6900061767479833,0.6973426387766043,0.6538476507899543,0.04382350435600773
generic_shift,group_by_cell,logistic,14716,11,0.5137970122222019,0.8573412747336485,0.8630613507623727,0.03347756866374051
generic_shift,group_by_cell,random_forest,14716,11,0.4587726178860513,0.8573412747336485,0.8630613507623727,0.03370635703151693
physical_plus_shift,group_by_cell,logistic,14716,23,0.4268695810001156,0.8501573332409244,0.8370909222088615,0.028970616460062156
physical_plus_shift,group_by_cell,random_forest,14716,23,0.27591313148738633,0.901799721922484,0.8862907957836249,0.025567439919526216
