canonical_station_uid,source_region,target_region,cell5,mae_out_minus_in,risk_class,p_safe,p_moderate,p_high,predicted_risk_class,recommendation
eur_ecad_01::184,MED,NEU,55_10,-0.0886631734487495,safe,0.8787722482607857,0.05630586318195148,0.06492188855726279,safe,deploy
eur_ecad_01::184,WCE,NEU,55_10,-0.0379487049462747,safe,0.6920772375321238,0.27399765162813616,0.033925110839740036,safe,deploy
eur_ecad_01::185,MED,NEU,65_20,-0.1189227656199829,safe,0.8714334847733521,0.08264867802503395,0.04591783720161442,safe,deploy
eur_ecad_01::185,WCE,NEU,65_20,-0.1270548581918946,safe,0.7720917996877505,0.15414495597909977,0.07376324433314986,safe,deploy
eur_ecad_01::451,MED,NEU,50_0,-0.157145897870468,safe,0.9900057160348456,0.007706749924281916,0.002287534040872368,safe,deploy
eur_ecad_01::451,WCE,NEU,50_0,0.0065643015446803,moderate,0.9584080330739411,0.04136550266866714,0.00022646425739209243,safe,deploy
eur_ecad_01::453,MED,NEU,50_5,-0.1343087394460851,safe,0.995631796950684,0.004046859185038797,0.0003213438642770349,safe,deploy
eur_ecad_01::453,WCE,NEU,50_5,-0.0612679976380983,safe,0.9004340789682127,0.09944674489496501,0.00011917613682218145,safe,deploy
eur_ecad_01::454,MED,WCE,50_5,-0.1091625078735138,safe,0.8041169322631754,0.19455430762207424,0.001328760114749787,safe,deploy
eur_ecad_01::454,NEU,WCE,50_5,0.0540618473701997,moderate,0.007066826741125796,0.9909222990498677,0.0020108742090062222,moderate,adapt
eur_ecad_01::464,MED,WCE,50_5,-0.1040878216335312,safe,0.8511711308294534,0.14805384924330356,0.0007750199272434326,safe,deploy
eur_ecad_01::464,NEU,WCE,50_5,0.0630473490670278,moderate,0.0013007657671409959,0.9970059505425862,0.0016932836902729283,moderate,adapt
eur_ecad_01::302,MED,NEU,55_10,-0.0946268692968157,safe,0.9651476509523571,0.027571733414479296,0.007280615633163973,safe,deploy
eur_ecad_01::302,WCE,NEU,55_10,-0.0492318639564755,safe,0.9448487433904083,0.04910241618173176,0.006048840427859833,safe,deploy
eur_ecad_01::303,MED,NEU,55_5,-0.0974666499528833,safe,0.9979568193838342,0.0017620073410551495,0.0002811732751107997,safe,deploy
eur_ecad_01::303,WCE,NEU,55_5,0.0018071805268466,moderate,0.9840555095278077,0.015944490472192145,0.0,safe,deploy
eur_ecad_01::304,MED,NEU,55_5,-0.1136896052084366,safe,0.9922979575385198,0.006537187227447976,0.001164855234032268,safe,deploy
eur_ecad_01::304,WCE,NEU,55_5,0.005110281036722,moderate,0.9012451861492845,0.097941365105323,0.0008134487453927479,safe,deploy
eur_ecad_01::305,MED,NEU,55_10,-0.0946268692968157,safe,0.9651476509523571,0.027571733414479296,0.007280615633163973,safe,deploy
eur_ecad_01::305,WCE,NEU,55_10,-0.0492318639564755,safe,0.9448487433904083,0.04910241618173176,0.006048840427859833,safe,deploy
eur_ecad_01::307,MED,NEU,55_5,-0.1049415771315422,safe,0.9976113369953277,0.0017297266041310414,0.0006589364005414248,safe,deploy
eur_ecad_01::307,WCE,NEU,55_5,0.0086318269834908,moderate,0.9825700099704577,0.01709044244396104,0.0003395475855812234,safe,deploy
eur_ecad_01::309,WCE,MED,35_-5,0.1611150011022175,high,0.01191078880171655,0.267346917580486,0.7207422936177973,high,retrain
eur_ecad_01::309,NEU,MED,35_-5,0.3308818378247262,high,0.0049696429311736215,0.003007719952003849,0.9920226371168227,high,retrain
eur_ecad_01::189,MED,NEU,70_-10,-0.107255264998415,safe,0.980628287512084,0.018943629537191545,0.00042808295072474685,safe,deploy
eur_ecad_01::189,WCE,NEU,70_-10,-0.0237888522838902,safe,0.9816518400242678,0.01834815997573214,0.0,safe,deploy
eur_ecad_01::191,MED,NEU,60_5,-0.0516612926223447,safe,0.8125925700655106,0.08941693363427343,0.09799049630021571,safe,deploy
eur_ecad_01::191,WCE,NEU,60_5,-0.1175953315362927,safe,0.6682358479032378,0.20068894499878678,0.13107520709797488,safe,deploy
eur_ecad_01::193,MED,NEU,55_10,-0.0877088351831916,safe,0.766251985284869,0.14497595092770693,0.08877206378742424,safe,deploy
eur_ecad_01::193,WCE,NEU,55_10,-0.0690729932820728,safe,0.6974395627151907,0.2533159864710894,0.049244450813720184,safe,deploy
eur_ecad_01::696,MED,WCE,50_10,-0.0173363340347414,safe,0.6527191696789901,0.3401751050369851,0.007105725284025241,safe,deploy
eur_ecad_01::696,NEU,WCE,50_10,0.0750362168143907,moderate,0.008131738813359202,0.9577874707726995,0.03408079041394137,moderate,adapt
eur_ecad_01::702,MED,NEU,60_20,-0.096040543057041,safe,0.9953329429135541,0.003256972547277397,0.0014100845391685289,safe,deploy
eur_ecad_01::702,WCE,NEU,60_20,-0.0619817599522076,safe,0.9824363324047077,0.01665406473870806,0.0009096028565842702,safe,deploy
eur_ecad_01::703,MED,NEU,60_25,-0.0864449581851776,safe,0.9910234386435938,0.008976561356406253,0.0,safe,deploy
eur_ecad_01::703,WCE,NEU,60_25,-0.0474957607236112,safe,0.9885556988729154,0.011444301127084626,0.0,safe,deploy
eur_ecad_01::468,MED,NEU,50_5,-0.0989163921466196,safe,0.9834085641689455,0.015466114412468068,0.0011253214185859112,safe,deploy
eur_ecad_01::468,WCE,NEU,50_5,-0.0126533675174895,safe,0.9381128945284144,0.05971216804888289,0.0021749374227031538,safe,deploy
eur_ecad_01::469,MED,NEU,55_5,-0.1192880372660019,safe,0.9512617939729485,0.04279962499817381,0.005938581028877861,safe,deploy
eur_ecad_01::469,WCE,NEU,55_5,-0.0524465536376879,safe,0.9878734022938483,0.009442249191937226,0.0026843485142145447,safe,deploy
eur_ecad_01::324,MED,WCE,50_10,-0.0333604935943037,safe,0.5672889000221896,0.4276747903186221,0.005036309659188405,safe,deploy
eur_ecad_01::324,NEU,WCE,50_10,0.0822111556742095,moderate,0.01179309036644476,0.9445415018179644,0.04366540781559088,moderate,adapt
eur_ecad_01::326,WCE,MED,35_25,0.1383966295900531,high,6.571271974438879e-05,0.053391366460993274,0.9465429208192625,high,retrain
eur_ecad_01::326,NEU,MED,35_25,0.3026590944936402,high,3.7674337019660056e-05,5.109371847605545e-05,0.9999112319445044,high,retrain
eur_ecad_01::194,MED,NEU,55_0,-0.0838709591075508,safe,0.9000028305349362,0.09232876383478414,0.007668405630280242,safe,deploy
eur_ecad_01::194,WCE,NEU,55_0,0.0612861231263472,moderate,0.21047442028020144,0.7764052440725449,0.013120335647253352,moderate,adapt
eur_ecad_01::195,MED,NEU,70_30,-0.2005072116258204,safe,0.9592733051910145,0.04072669480898521,0.0,safe,deploy
eur_ecad_01::195,WCE,NEU,70_30,-0.0274635098299418,safe,0.7204402701719225,0.27886874226092645,0.0006909875671506098,safe,deploy
eur_ecad_01::196,MED,NEU,60_5,-0.0969027549843764,safe,0.7576063458634357,0.14133544785145166,0.10105820628511256,safe,deploy
eur_ecad_01::196,WCE,NEU,60_5,-0.1150258866531603,safe,0.623867331858606,0.15526118808905431,0.22087148005233956,safe,deploy
eur_ecad_01::1040,MED,NEU,60_10,-0.0609037734699851,safe,0.9559160379782891,0.04253551409741357,0.0015484479242976247,safe,deploy
eur_ecad_01::1040,WCE,NEU,60_10,-0.0942645911760409,safe,0.9628316821457817,0.03375800514953945,0.003410312704678913,safe,deploy
eur_ecad_01::1041,MED,NEU,55_5,-0.0949425879298879,safe,0.9320147150218705,0.03202658553028707,0.03595869944784279,safe,deploy
eur_ecad_01::1041,WCE,NEU,55_5,-0.0668871654185405,safe,0.8877112894442719,0.07667792328178519,0.035610787273943005,safe,deploy
eur_ecad_01::1043,MED,NEU,55_5,-0.1200395885958496,safe,0.9018231519501884,0.03747593451536748,0.060700913534444026,safe,deploy
eur_ecad_01::1043,WCE,NEU,55_5,-0.0342130620691976,safe,0.776462219306538,0.17079948862354266,0.05273829206991957,safe,deploy
eur_ecad_01::1044,MED,NEU,55_5,-0.1526892338316829,safe,0.9219341556737807,0.07378826223808337,0.004277582088136698,safe,deploy
eur_ecad_01::1044,WCE,NEU,55_5,0.0205308044036627,moderate,0.4052291792757548,0.5912167097847483,0.0035541109394970046,moderate,deploy
eur_ecad_01::1045,MED,NEU,55_5,-0.1226172335330164,safe,0.947764075185287,0.046784855095478806,0.005451069719234753,safe,deploy
eur_ecad_01::1045,WCE,NEU,55_5,0.0121664042835005,moderate,0.4998450190832149,0.49597666082326675,0.004178320093518131,safe,deploy
eur_ecad_01::1046,MED,NEU,55_5,-0.0604062650837331,safe,0.9143450932776642,0.07527493501811006,0.010379971704225398,safe,deploy
eur_ecad_01::1046,WCE,NEU,55_5,0.0355383086847829,moderate,0.19113542944480175,0.8020135578238666,0.00685101273133059,moderate,adapt
eur_ecad_01::1048,MED,NEU,60_10,-0.0996051341491979,safe,0.8500935052823188,0.06746154223272698,0.08244495248495418,safe,deploy
eur_ecad_01::1048,WCE,NEU,60_10,-0.0725932952265178,safe,0.7151798041596099,0.23854352132695203,0.046276674513437886,safe,deploy
eur_ecad_01::1049,MED,NEU,60_5,0.0263795923439298,moderate,0.8389124567988341,0.08792010375150713,0.07316743944965848,safe,deploy
eur_ecad_01::1049,WCE,NEU,60_5,0.065333087293891,moderate,0.03231728347882241,0.9410448074632043,0.02663790905797318,moderate,adapt
