forecast_model,feature_set,cv_kind,n,n_features,mae,r2
graphwavenet_transfer,label_free_agreement,group_by_cell,158760,8,0.049539406537731076,0.6559641625102137
graphwavenet_transfer,label_free_agreement_cold,group_by_cell,158760,8,0.058972831947249504,0.5004860800583957
graphwavenet_transfer,generic_shift,group_by_cell,158760,11,0.08174004448948921,0.16336664887430952
graphwavenet_transfer,physical_knowledge,group_by_cell,158760,12,0.0762088131081169,0.2731059034744907
graphwavenet_transfer,physical_plus_shift,group_by_cell,158760,23,0.0659719125920871,0.34048734903526023
graphwavenet_transfer,shift_plus_agreement,group_by_cell,158760,19,0.04050616425836799,0.7360243363740907
graphwavenet_transfer,physical_plus_shift_plus_agreement,group_by_cell,158760,31,0.044725147201207495,0.6578377193324711
graphwavenet_transfer,physical_plus_shift_plus_agreement_cold,group_by_cell,158760,31,0.049830399985923785,0.574393358940416
graphwavenet_transfer,label_free_agreement,leave_target_region_out,158760,8,0.059876197221982015,0.48451569763760116
graphwavenet_transfer,label_free_agreement_cold,leave_target_region_out,158760,8,0.07281547128012324,0.24609395791639677
graphwavenet_transfer,generic_shift,leave_target_region_out,158760,11,0.09401906989850256,-0.08617934834949037
graphwavenet_transfer,physical_knowledge,leave_target_region_out,158760,12,0.0837253464041214,0.11969661536400023
graphwavenet_transfer,physical_plus_shift,leave_target_region_out,158760,23,0.08115649428221382,0.1431807837688387
graphwavenet_transfer,shift_plus_agreement,leave_target_region_out,158760,19,0.08101121960314668,0.01748602766576468
graphwavenet_transfer,physical_plus_shift_plus_agreement,leave_target_region_out,158760,31,0.07017187653085472,0.23811744865782147
graphwavenet_transfer,physical_plus_shift_plus_agreement_cold,leave_target_region_out,158760,31,0.0809174395000598,0.04667115582642456
linear_window,label_free_agreement,group_by_cell,158760,8,0.08085098229725039,0.23351349218159712
linear_window,label_free_agreement_cold,group_by_cell,158760,8,0.08086526495580881,0.22274020087885316
linear_window,generic_shift,group_by_cell,158760,11,0.08532073005802593,0.03176938624988623
linear_window,physical_knowledge,group_by_cell,158760,12,0.09140749942117303,-0.18420940421781062
linear_window,physical_plus_shift,group_by_cell,158760,23,0.08311244554310554,0.028336317273841893
linear_window,shift_plus_agreement,group_by_cell,158760,19,0.07768637067606048,0.25648532326025164
linear_window,physical_plus_shift_plus_agreement,group_by_cell,158760,31,0.08010392940958982,0.1536761173306116
linear_window,physical_plus_shift_plus_agreement_cold,group_by_cell,158760,31,0.0797686744609575,0.160370749007556
linear_window,label_free_agreement,leave_target_region_out,158760,8,0.08216220359894748,0.21801210541861626
linear_window,label_free_agreement_cold,leave_target_region_out,158760,8,0.08210673375543891,0.20367861549336164
linear_window,generic_shift,leave_target_region_out,158760,11,0.0891670064793417,-0.0032534650496049977
linear_window,physical_knowledge,leave_target_region_out,158760,12,0.09430365162896451,-0.3411928844352552
linear_window,physical_plus_shift,leave_target_region_out,158760,23,0.09065235555528567,-0.2027300757713495
linear_window,shift_plus_agreement,leave_target_region_out,158760,19,0.08069054915150932,0.21035789545760408
linear_window,physical_plus_shift_plus_agreement,leave_target_region_out,158760,31,0.08277431392184957,0.07876102944943297
linear_window,physical_plus_shift_plus_agreement_cold,leave_target_region_out,158760,31,0.08221243983567063,0.11589106812726657
patchtst_small,label_free_agreement,group_by_cell,158760,8,0.07675871175698148,0.3338095272506858
patchtst_small,label_free_agreement_cold,group_by_cell,158760,8,0.07718174380961275,0.3188871973082945
patchtst_small,generic_shift,group_by_cell,158760,11,0.08438977151624641,0.039850790940359815
patchtst_small,physical_knowledge,group_by_cell,158760,12,0.0824541634475824,0.14738250311073264
patchtst_small,physical_plus_shift,group_by_cell,158760,23,0.07644799328695347,0.274877872864718
patchtst_small,shift_plus_agreement,group_by_cell,158760,19,0.07397286856894612,0.3632221132574629
patchtst_small,physical_plus_shift_plus_agreement,group_by_cell,158760,31,0.07403959080031094,0.3468479587544274
patchtst_small,physical_plus_shift_plus_agreement_cold,group_by_cell,158760,31,0.07410160881981165,0.3442120710495664
patchtst_small,label_free_agreement,leave_target_region_out,158760,8,0.07793954872615087,0.3022259750295839
patchtst_small,label_free_agreement_cold,leave_target_region_out,158760,8,0.07852700200273308,0.2838703142963891
patchtst_small,generic_shift,leave_target_region_out,158760,11,0.09053717468524533,-0.039251645875495234
patchtst_small,physical_knowledge,leave_target_region_out,158760,12,0.08321897316211944,0.11006802140325145
patchtst_small,physical_plus_shift,leave_target_region_out,158760,23,0.08134901055164154,0.12513401926434775
patchtst_small,shift_plus_agreement,leave_target_region_out,158760,19,0.07728672875472213,0.2871324008971069
patchtst_small,physical_plus_shift_plus_agreement,leave_target_region_out,158760,31,0.07568079860783002,0.3038116849975473
patchtst_small,physical_plus_shift_plus_agreement_cold,leave_target_region_out,158760,31,0.076816370988436,0.27140970949013254
regional_doy_climatology,label_free_agreement,group_by_cell,158760,8,0.2422999122713839,0.8634423865618404
regional_doy_climatology,label_free_agreement_cold,group_by_cell,158760,8,0.12195929360819466,0.957012389554844
regional_doy_climatology,generic_shift,group_by_cell,158760,11,0.10787409422699432,0.9653139195293959
regional_doy_climatology,physical_knowledge,group_by_cell,158760,12,0.6415665096873857,0.07665373988419832
regional_doy_climatology,physical_plus_shift,group_by_cell,158760,23,0.09454294383930148,0.8845399246444878
regional_doy_climatology,shift_plus_agreement,group_by_cell,158760,19,0.08084528579591936,0.9791229791532545
regional_doy_climatology,physical_plus_shift_plus_agreement,group_by_cell,158760,31,0.053402768388667546,0.9894113563798155
regional_doy_climatology,physical_plus_shift_plus_agreement_cold,group_by_cell,158760,31,0.05332513053510102,0.9895426745779178
regional_doy_climatology,label_free_agreement,leave_target_region_out,158760,8,0.2898148966491817,0.8204071745674871
regional_doy_climatology,label_free_agreement_cold,leave_target_region_out,158760,8,0.3531945490909468,0.7649837851793143
regional_doy_climatology,generic_shift,leave_target_region_out,158760,11,0.8078943922775602,-0.5479810683793529
regional_doy_climatology,physical_knowledge,leave_target_region_out,158760,12,0.7249028061641754,-0.07131416686685466
regional_doy_climatology,physical_plus_shift,leave_target_region_out,158760,23,0.7546947638733278,-0.6954843555455903
regional_doy_climatology,shift_plus_agreement,leave_target_region_out,158760,19,0.343675668671094,0.5987414938692894
regional_doy_climatology,physical_plus_shift_plus_agreement,leave_target_region_out,158760,31,0.32743178814090856,0.5760864032211133
regional_doy_climatology,physical_plus_shift_plus_agreement_cold,leave_target_region_out,158760,31,0.3351783380192578,0.5589923110250703
spatial_knn_ridge,label_free_agreement,group_by_cell,158760,8,0.033784197754380275,0.6393008494220442
spatial_knn_ridge,label_free_agreement_cold,group_by_cell,158760,8,0.034161992115113005,0.5918375186683188
spatial_knn_ridge,generic_shift,group_by_cell,158760,11,0.02894897168142693,0.6554572612993151
spatial_knn_ridge,physical_knowledge,group_by_cell,158760,12,0.05958598972071511,0.3003273753991823
spatial_knn_ridge,physical_plus_shift,group_by_cell,158760,23,0.01983845394027518,0.8234071723433979
spatial_knn_ridge,shift_plus_agreement,group_by_cell,158760,19,0.01888816266203682,0.8344583389403084
spatial_knn_ridge,physical_plus_shift_plus_agreement,group_by_cell,158760,31,0.017918600984092137,0.8434902792529233
spatial_knn_ridge,physical_plus_shift_plus_agreement_cold,group_by_cell,158760,31,0.017882399946826392,0.8462994361536322
spatial_knn_ridge,label_free_agreement,leave_target_region_out,158760,8,0.046799962869627384,0.34789909096552085
spatial_knn_ridge,label_free_agreement_cold,leave_target_region_out,158760,8,0.04888778542848385,0.20626125329490363
spatial_knn_ridge,generic_shift,leave_target_region_out,158760,11,0.09519212804907426,-0.9774422502902995
spatial_knn_ridge,physical_knowledge,leave_target_region_out,158760,12,0.07016152738688879,-0.06092292716984704
spatial_knn_ridge,physical_plus_shift,leave_target_region_out,158760,23,0.09182467546177178,-0.9694693220678354
spatial_knn_ridge,shift_plus_agreement,leave_target_region_out,158760,19,0.07062504590297583,-0.25524203418011737
spatial_knn_ridge,physical_plus_shift_plus_agreement,leave_target_region_out,158760,31,0.06442747406431285,0.009415811114956152
spatial_knn_ridge,physical_plus_shift_plus_agreement_cold,leave_target_region_out,158760,31,0.06457485480113329,-0.000500321121009506
stgcn_diffusion,label_free_agreement,group_by_cell,158760,8,0.05382289244230378,0.39566740420713054
stgcn_diffusion,label_free_agreement_cold,group_by_cell,158760,8,0.05798372734640403,0.3225353613623714
stgcn_diffusion,generic_shift,group_by_cell,158760,11,0.06769127560859287,0.04042920681901063
stgcn_diffusion,physical_knowledge,group_by_cell,158760,12,0.06707258374360488,0.21346881539267115
stgcn_diffusion,physical_plus_shift,group_by_cell,158760,23,0.05303541501280173,0.32970451847405824
stgcn_diffusion,shift_plus_agreement,group_by_cell,158760,19,0.04395083377377568,0.5258946526199477
stgcn_diffusion,physical_plus_shift_plus_agreement,group_by_cell,158760,31,0.043629568881989086,0.5277262611915526
stgcn_diffusion,physical_plus_shift_plus_agreement_cold,group_by_cell,158760,31,0.04693072246392414,0.48670926517237556
stgcn_diffusion,label_free_agreement,leave_target_region_out,158760,8,0.06455054234907505,0.11806336894301428
stgcn_diffusion,label_free_agreement_cold,leave_target_region_out,158760,8,0.07051751614391241,0.00786365639545672
stgcn_diffusion,generic_shift,leave_target_region_out,158760,11,0.08273249322728643,-0.14900951888787528
stgcn_diffusion,physical_knowledge,leave_target_region_out,158760,12,0.06950073537586846,0.15169718671824461
stgcn_diffusion,physical_plus_shift,leave_target_region_out,158760,23,0.07193867458629771,0.08420324873352747
stgcn_diffusion,shift_plus_agreement,leave_target_region_out,158760,19,0.08275518479154388,-0.3473685567697269
stgcn_diffusion,physical_plus_shift_plus_agreement,leave_target_region_out,158760,31,0.06528849509488237,0.12709508003683778
stgcn_diffusion,physical_plus_shift_plus_agreement_cold,leave_target_region_out,158760,31,0.06678380836345617,0.09637479202820687
