forecast_model,n_pairs,alpha,target_coverage,empirical_coverage,unsafe_deploy_rate,mean_deploy_per_split,mean_tested_per_split
graphwavenet_transfer,110,0.2,0.8,0.7980909090909091,0.0,0.02,55.0
graphwavenet_transfer,110,0.1,0.9,0.9078181818181819,0.0,0.0,55.0
graphwavenet_transfer,110,0.05,0.95,0.9642727272727272,0.0,0.0,55.0
linear_window,110,0.2,0.8,0.8079090909090908,0.0025,0.015,55.0
linear_window,110,0.1,0.9,0.9061818181818181,0.0,0.0,55.0
linear_window,110,0.05,0.95,0.9579999999999999,0.0,0.0,55.0
patchtst_small,110,0.2,0.8,0.7941818181818181,0.005,0.475,55.0
patchtst_small,110,0.1,0.9,0.9081818181818181,0.0,0.0,55.0
patchtst_small,110,0.05,0.95,0.9648181818181817,0.0,0.0,55.0
regional_doy_climatology,110,0.2,0.8,0.7983636363636364,0.11256368631368631,9.14,55.0
regional_doy_climatology,110,0.1,0.9,0.9163636363636364,0.013589285714285713,5.775,55.0
regional_doy_climatology,110,0.05,0.95,0.9671818181818181,0.0,2.61,55.0
spatial_knn_ridge,110,0.2,0.8,0.8053636363636363,0.0,8.17,55.0
spatial_knn_ridge,110,0.1,0.9,0.9103636363636363,0.0,3.2,55.0
spatial_knn_ridge,110,0.05,0.95,0.963909090909091,0.0,0.84,55.0
stgcn_diffusion,110,0.2,0.8,0.8003636363636363,0.0,0.13,55.0
stgcn_diffusion,110,0.1,0.9,0.9082727272727271,0.0,0.0,55.0
stgcn_diffusion,110,0.05,0.95,0.9648181818181818,0.0,0.0,55.0
