forecast_model,stage,metric,value,context
graphwavenet_transfer,feature_fusion,delta_r2_physical_plus_shift_minus_shift,0.2427846244129501,group_by_cell random_forest
linear_window,feature_fusion,delta_r2_physical_plus_shift_minus_shift,-0.1292440428078927,group_by_cell random_forest
patchtst_small,feature_fusion,delta_r2_physical_plus_shift_minus_shift,-0.1280122807397405,group_by_cell random_forest
regional_doy_climatology,feature_fusion,delta_r2_physical_plus_shift_minus_shift,-0.1396382873767744,group_by_cell random_forest
spatial_knn_ridge,feature_fusion,delta_r2_physical_plus_shift_minus_shift,0.1764744091035325,group_by_cell random_forest
stgcn_diffusion,feature_fusion,delta_r2_physical_plus_shift_minus_shift,0.2872606833411161,group_by_cell random_forest
graphwavenet_transfer,inference_model,r2_random_forest,0.1362887518415597,leave_target_region_out physical_plus_shift
graphwavenet_transfer,inference_model,r2_mixedlm_pool,-1.229529157644567,leave_target_region_out physical_plus_shift
graphwavenet_transfer,inference_model,r2_fusion_stack,0.1292123771925885,leave_target_region_out physical_plus_shift
linear_window,inference_model,r2_random_forest,-0.0460863678385836,leave_target_region_out physical_plus_shift
linear_window,inference_model,r2_mixedlm_pool,-0.0027469647068389,leave_target_region_out physical_plus_shift
linear_window,inference_model,r2_fusion_stack,-7.734755860688836e-06,leave_target_region_out physical_plus_shift
patchtst_small,inference_model,r2_random_forest,-0.0526214919346788,leave_target_region_out physical_plus_shift
patchtst_small,inference_model,r2_mixedlm_pool,-0.0032139777957644,leave_target_region_out physical_plus_shift
patchtst_small,inference_model,r2_fusion_stack,0.0001321609947129,leave_target_region_out physical_plus_shift
regional_doy_climatology,inference_model,r2_random_forest,-0.6954843555455903,leave_target_region_out physical_plus_shift
regional_doy_climatology,inference_model,r2_mixedlm_pool,0.8592703243607007,leave_target_region_out physical_plus_shift
regional_doy_climatology,inference_model,r2_fusion_stack,0.856950043507406,leave_target_region_out physical_plus_shift
spatial_knn_ridge,inference_model,r2_random_forest,-0.9694693220678354,leave_target_region_out physical_plus_shift
spatial_knn_ridge,inference_model,r2_mixedlm_pool,0.2642097396958558,leave_target_region_out physical_plus_shift
spatial_knn_ridge,inference_model,r2_fusion_stack,0.3154687314516561,leave_target_region_out physical_plus_shift
stgcn_diffusion,inference_model,r2_random_forest,0.0023240964301757,leave_target_region_out physical_plus_shift
stgcn_diffusion,inference_model,r2_mixedlm_pool,-0.0635308221013284,leave_target_region_out physical_plus_shift
stgcn_diffusion,inference_model,r2_fusion_stack,0.1136091233426432,leave_target_region_out physical_plus_shift
graphwavenet_transfer,monotone_prior,r2_hist_gbm,0.1984315536076318,leave_target_region_out physical_plus_shift
graphwavenet_transfer,monotone_prior,r2_hist_gbm_mono,0.1522380663843053,leave_target_region_out physical_plus_shift
linear_window,monotone_prior,r2_hist_gbm,-0.0195904244068532,leave_target_region_out physical_plus_shift
linear_window,monotone_prior,r2_hist_gbm_mono,-0.0184919031644299,leave_target_region_out physical_plus_shift
patchtst_small,monotone_prior,r2_hist_gbm,-0.0265493222759716,leave_target_region_out physical_plus_shift
patchtst_small,monotone_prior,r2_hist_gbm_mono,-0.0235946724555144,leave_target_region_out physical_plus_shift
regional_doy_climatology,monotone_prior,r2_hist_gbm,-0.4160367022792914,leave_target_region_out physical_plus_shift
regional_doy_climatology,monotone_prior,r2_hist_gbm_mono,0.1239858239122964,leave_target_region_out physical_plus_shift
spatial_knn_ridge,monotone_prior,r2_hist_gbm,-0.4041273274902279,leave_target_region_out physical_plus_shift
spatial_knn_ridge,monotone_prior,r2_hist_gbm_mono,-0.3241652595167688,leave_target_region_out physical_plus_shift
stgcn_diffusion,monotone_prior,r2_hist_gbm,0.0224575090659231,leave_target_region_out physical_plus_shift
stgcn_diffusion,monotone_prior,r2_hist_gbm_mono,0.0899986129161735,leave_target_region_out physical_plus_shift
graphwavenet_transfer,decision_calibration,unsafe_deploy_rate_alpha_0.10,0.0,coverage=0.908; deploy/split=0.00
linear_window,decision_calibration,unsafe_deploy_rate_alpha_0.10,0.0,coverage=0.906; deploy/split=0.00
patchtst_small,decision_calibration,unsafe_deploy_rate_alpha_0.10,0.0,coverage=0.908; deploy/split=0.00
regional_doy_climatology,decision_calibration,unsafe_deploy_rate_alpha_0.10,0.0135892857142857,coverage=0.916; deploy/split=5.78
spatial_knn_ridge,decision_calibration,unsafe_deploy_rate_alpha_0.10,0.0,coverage=0.910; deploy/split=3.20
stgcn_diffusion,decision_calibration,unsafe_deploy_rate_alpha_0.10,0.0,coverage=0.908; deploy/split=0.00
