region_set,n_regions,forecast_model,n_rows,n_pairs,r2_physical,r2_shift,r2_physical_plus_shift,delta_combined_minus_shift
all_11,11,graphwavenet_transfer,158760,110,0.3034330296741554,0.14532530469183036,0.3881099291047805,0.24278462441295012
all_11,11,linear_window,158760,110,-0.13796856968242688,-0.010211637511309712,-0.1394556803192024,-0.1292440428078927
all_11,11,patchtst_small,158760,110,-0.13779810086598876,-0.009992196144196885,-0.13800447688393747,-0.12801228073974058
all_11,11,regional_doy_climatology,158760,110,0.039499816026554835,0.9664184423342165,0.8267801549574421,-0.13963828737677442
all_11,11,spatial_knn_ridge,158760,110,0.3052024916593109,0.6554882100754089,0.8319626191789414,0.17647440910353251
all_11,11,stgcn_diffusion,158760,110,0.23414192227877495,0.08034385374069786,0.36760453708181395,0.2872606833411161
coverage95_only,8,graphwavenet_transfer,101955,56,0.3053521288781267,0.15411492805658644,0.3966401747827353,0.24252524672614884
coverage95_only,8,linear_window,101955,56,-0.06262249569411016,-0.0030357436101660085,-0.061557576742161,-0.058521833131994994
coverage95_only,8,patchtst_small,101955,56,-0.06246768455351415,-0.0030886704252983677,-0.06198080106116444,-0.05889213063586607
coverage95_only,8,regional_doy_climatology,101955,56,-0.3511552356612908,0.9247128910508999,0.9496009960309311,0.024888104980031134
coverage95_only,8,spatial_knn_ridge,101955,56,0.32869033059341857,0.7625190696572894,0.8686316195333728,0.10611254987608332
coverage95_only,8,stgcn_diffusion,101955,56,0.21054338802272932,0.0975946566786341,0.35726719752105973,0.25967254084242564
coverage95_ge300,7,graphwavenet_transfer,83052,42,0.2994523057188587,0.15336497460166743,0.4092031247299509,0.2558381501282835
coverage95_ge300,7,linear_window,83052,42,-0.0657072888463981,-0.0015169274657222953,-0.06425432258075281,-0.06273739511503051
coverage95_ge300,7,patchtst_small,83052,42,-0.06522925000462343,-0.001561999276337156,-0.06445432928628092,-0.06289233000994376
coverage95_ge300,7,regional_doy_climatology,83052,42,-0.2785469393984916,0.9232844677649604,0.9526111593610984,0.029326691596137988
coverage95_ge300,7,spatial_knn_ridge,83052,42,0.3370791475759699,0.7578053619881387,0.8778474136853963,0.12004205169725757
coverage95_ge300,7,stgcn_diffusion,83052,42,0.21911919818780567,0.09544645282437625,0.37847442327691283,0.2830279704525366
