model,conflict_tercile,coverage_global,coverage_stratified,width_global,width_stratified
spatial_knn_ridge,low,0.9187334098201643,0.9293245506289725,0.022830710654377792,0.048754898133288836
spatial_knn_ridge,mid,0.9674064316651576,0.9244302209381828,0.022830710654377792,0.01689578040673769
spatial_knn_ridge,high,0.8574651633588739,0.9311602707739807,0.022830710654377792,0.02647200806455472
stgcn_diffusion,low,1.0,0.9302493420616217,0.03305969914688844,0.0042538339979009045
stgcn_diffusion,mid,0.9942731302401849,0.9336612501929503,0.03305969914688844,0.019570215746277833
stgcn_diffusion,high,0.7434410536816648,0.9259505263666153,0.03305969914688844,0.22868999781789257
graphwavenet_transfer,low,1.0,0.9310788977772982,0.042737735233821045,0.0030474075373281098
graphwavenet_transfer,mid,0.9976663370026373,0.9203598219718492,0.042737735233821045,0.022949544186144605
graphwavenet_transfer,high,0.7330878760362842,0.92367033605245,0.042737735233821045,0.06096044255688073
regional_doy_climatology,low,0.9255552141687051,0.9319271474725103,0.04732358617067702,0.051656890024609436
regional_doy_climatology,mid,0.9154161386075989,0.919613895618315,0.04732358617067702,0.0967618908936715
regional_doy_climatology,high,0.8903616409645653,0.9245446498879096,0.04732358617067702,0.11012258599728222
