model,policy,alpha,n_deploy,unsafe_rate,safe_deploy,n_safe,n_pairs
spatial_knn_ridge,global,0.02,0,0.0,0,48,110
spatial_knn_ridge,global,0.04,0,0.0,0,48,110
spatial_knn_ridge,global,0.06,0,0.0,0,48,110
spatial_knn_ridge,global,0.08,1,1.0,0,48,110
spatial_knn_ridge,global,0.1,3,1.0,0,48,110
spatial_knn_ridge,global,0.12,4,1.0,0,48,110
spatial_knn_ridge,global,0.14,5,1.0,0,48,110
spatial_knn_ridge,global,0.16,5,1.0,0,48,110
spatial_knn_ridge,global,0.18,5,1.0,0,48,110
spatial_knn_ridge,global,0.2,5,1.0,0,48,110
spatial_knn_ridge,global,0.22,7,1.0,0,48,110
spatial_knn_ridge,global,0.24,7,1.0,0,48,110
spatial_knn_ridge,global,0.26,7,1.0,0,48,110
spatial_knn_ridge,global,0.28,7,1.0,0,48,110
spatial_knn_ridge,global,0.3,8,1.0,0,48,110
spatial_knn_ridge,global,0.32,8,1.0,0,48,110
spatial_knn_ridge,global,0.34,8,1.0,0,48,110
spatial_knn_ridge,global,0.36,12,0.9166666666666666,1,48,110
spatial_knn_ridge,global,0.38,15,0.8666666666666667,2,48,110
spatial_knn_ridge,global,0.4,18,0.8333333333333334,3,48,110
spatial_knn_ridge,global,0.42,21,0.7619047619047619,5,48,110
spatial_knn_ridge,global,0.44,22,0.7727272727272727,5,48,110
spatial_knn_ridge,global,0.46,23,0.782608695652174,5,48,110
spatial_knn_ridge,global,0.48,29,0.7586206896551724,7,48,110
spatial_knn_ridge,global,0.5,37,0.7567567567567568,9,48,110
spatial_knn_ridge,global,0.52,44,0.7727272727272727,10,48,110
spatial_knn_ridge,global,0.54,47,0.7446808510638298,12,48,110
spatial_knn_ridge,global,0.56,55,0.7272727272727273,15,48,110
spatial_knn_ridge,global,0.58,60,0.6833333333333333,19,48,110
spatial_knn_ridge,global,0.6,68,0.6470588235294118,24,48,110
spatial_knn_ridge,conflict,0.02,0,0.0,0,48,110
spatial_knn_ridge,conflict,0.04,0,0.0,0,48,110
spatial_knn_ridge,conflict,0.06,0,0.0,0,48,110
spatial_knn_ridge,conflict,0.08,0,0.0,0,48,110
spatial_knn_ridge,conflict,0.1,5,1.0,0,48,110
spatial_knn_ridge,conflict,0.12,5,1.0,0,48,110
spatial_knn_ridge,conflict,0.14,5,1.0,0,48,110
spatial_knn_ridge,conflict,0.16,5,1.0,0,48,110
spatial_knn_ridge,conflict,0.18,6,1.0,0,48,110
spatial_knn_ridge,conflict,0.2,7,1.0,0,48,110
spatial_knn_ridge,conflict,0.22,7,1.0,0,48,110
spatial_knn_ridge,conflict,0.24,8,1.0,0,48,110
spatial_knn_ridge,conflict,0.26,8,1.0,0,48,110
spatial_knn_ridge,conflict,0.28,9,0.8888888888888888,1,48,110
spatial_knn_ridge,conflict,0.3,10,0.9,1,48,110
spatial_knn_ridge,conflict,0.32,11,0.9090909090909091,1,48,110
spatial_knn_ridge,conflict,0.34,16,0.8125,3,48,110
spatial_knn_ridge,conflict,0.36,16,0.8125,3,48,110
spatial_knn_ridge,conflict,0.38,17,0.8235294117647058,3,48,110
spatial_knn_ridge,conflict,0.4,25,0.8,5,48,110
spatial_knn_ridge,conflict,0.42,26,0.8076923076923077,5,48,110
spatial_knn_ridge,conflict,0.44,31,0.8064516129032258,6,48,110
spatial_knn_ridge,conflict,0.46,33,0.7878787878787878,7,48,110
spatial_knn_ridge,conflict,0.48,34,0.7941176470588235,7,48,110
spatial_knn_ridge,conflict,0.5,38,0.7105263157894737,11,48,110
spatial_knn_ridge,conflict,0.52,44,0.7045454545454546,13,48,110
spatial_knn_ridge,conflict,0.54,47,0.6595744680851063,16,48,110
spatial_knn_ridge,conflict,0.56,52,0.6346153846153846,19,48,110
spatial_knn_ridge,conflict,0.58,52,0.6346153846153846,19,48,110
spatial_knn_ridge,conflict,0.6,57,0.631578947368421,21,48,110
spatial_knn_ridge,distance,0.02,12,0.25,9,48,110
spatial_knn_ridge,distance,0.04,12,0.25,9,48,110
spatial_knn_ridge,distance,0.06,12,0.25,9,48,110
spatial_knn_ridge,distance,0.08,13,0.3076923076923077,9,48,110
spatial_knn_ridge,distance,0.1,14,0.35714285714285715,9,48,110
spatial_knn_ridge,distance,0.12,14,0.35714285714285715,9,48,110
spatial_knn_ridge,distance,0.14,14,0.35714285714285715,9,48,110
spatial_knn_ridge,distance,0.16,14,0.35714285714285715,9,48,110
spatial_knn_ridge,distance,0.18,14,0.35714285714285715,9,48,110
spatial_knn_ridge,distance,0.2,16,0.3125,11,48,110
spatial_knn_ridge,distance,0.22,18,0.3888888888888889,11,48,110
spatial_knn_ridge,distance,0.24,18,0.3888888888888889,11,48,110
spatial_knn_ridge,distance,0.26,18,0.3888888888888889,11,48,110
spatial_knn_ridge,distance,0.28,19,0.3684210526315789,12,48,110
spatial_knn_ridge,distance,0.3,20,0.4,12,48,110
spatial_knn_ridge,distance,0.32,20,0.4,12,48,110
spatial_knn_ridge,distance,0.34,20,0.4,12,48,110
spatial_knn_ridge,distance,0.36,21,0.42857142857142855,12,48,110
spatial_knn_ridge,distance,0.38,24,0.4583333333333333,13,48,110
spatial_knn_ridge,distance,0.4,25,0.44,14,48,110
spatial_knn_ridge,distance,0.42,26,0.4230769230769231,15,48,110
spatial_knn_ridge,distance,0.44,27,0.4444444444444444,15,48,110
spatial_knn_ridge,distance,0.46,27,0.4444444444444444,15,48,110
spatial_knn_ridge,distance,0.48,28,0.4642857142857143,15,48,110
spatial_knn_ridge,distance,0.5,31,0.4838709677419355,16,48,110
spatial_knn_ridge,distance,0.52,37,0.5405405405405406,17,48,110
spatial_knn_ridge,distance,0.54,41,0.5365853658536586,19,48,110
spatial_knn_ridge,distance,0.56,43,0.5116279069767442,21,48,110
spatial_knn_ridge,distance,0.58,45,0.5111111111111111,22,48,110
spatial_knn_ridge,distance,0.6,45,0.5111111111111111,22,48,110
spatial_knn_ridge,reject,0.02,0,0.0,0,48,110
spatial_knn_ridge,reject,0.04,0,0.0,0,48,110
spatial_knn_ridge,reject,0.06,0,0.0,0,48,110
spatial_knn_ridge,reject,0.08,0,0.0,0,48,110
spatial_knn_ridge,reject,0.1,0,0.0,0,48,110
spatial_knn_ridge,reject,0.12,0,0.0,0,48,110
spatial_knn_ridge,reject,0.14,0,0.0,0,48,110
spatial_knn_ridge,reject,0.16,0,0.0,0,48,110
spatial_knn_ridge,reject,0.18,0,0.0,0,48,110
spatial_knn_ridge,reject,0.2,0,0.0,0,48,110
spatial_knn_ridge,reject,0.22,0,0.0,0,48,110
spatial_knn_ridge,reject,0.24,0,0.0,0,48,110
spatial_knn_ridge,reject,0.26,0,0.0,0,48,110
spatial_knn_ridge,reject,0.28,0,0.0,0,48,110
spatial_knn_ridge,reject,0.3,1,1.0,0,48,110
