ar6_region,scope,coverage_threshold,period_start,n_unique_post_dedup,n_source_rows_pre_dedup
ENA,core_ghcnd_ecad,80,2005,830,848
ENA,core_plus_validation,80,2005,830,848
CNA,core_ghcnd_ecad,80,2005,761,763
CNA,core_plus_validation,80,2005,761,763
WNA,core_ghcnd_ecad,80,2005,1339,1343
WNA,core_plus_validation,80,2005,1339,1343
WCE,core_ghcnd_ecad,80,2005,5140,6953
WCE,core_plus_validation,80,2005,5140,6953
NEU,core_ghcnd_ecad,80,2005,2715,3496
NEU,core_plus_validation,80,2005,2715,3496
NWS,core_ghcnd_ecad,80,2005,0,0
NWS,core_plus_validation,80,2005,0,0
NCA,core_ghcnd_ecad,80,2005,144,144
NCA,core_plus_validation,80,2005,144,144
NWN,core_ghcnd_ecad,80,2005,183,197
NWN,core_plus_validation,80,2005,183,197
SAU,core_ghcnd_ecad,80,2005,627,627
SAU,core_plus_validation,80,2005,627,627
MED,core_ghcnd_ecad,80,2005,904,1222
MED,core_plus_validation,80,2005,904,1222
EAS,core_ghcnd_ecad,80,2005,110,110
EAS,core_plus_validation,80,2005,110,110
EAU,core_ghcnd_ecad,80,2005,447,447
EAU,core_plus_validation,80,2005,447,447
SES,core_ghcnd_ecad,80,2005,14,14
SES,core_plus_validation,80,2005,14,14
NES,core_ghcnd_ecad,80,2005,10,10
NES,core_plus_validation,80,2005,10,10
SAS,core_ghcnd_ecad,80,2005,0,0
SAS,core_plus_validation,80,2005,0,0
NEN,core_ghcnd_ecad,80,2005,51,59
NEN,core_plus_validation,80,2005,51,59
SCA,core_ghcnd_ecad,80,2005,0,0
SCA,core_plus_validation,80,2005,0,0
CAU,core_ghcnd_ecad,80,2005,69,69
CAU,core_plus_validation,80,2005,69,69
WCA,core_ghcnd_ecad,80,2005,8,8
WCA,core_plus_validation,80,2005,8,8
NAU,core_ghcnd_ecad,80,2005,58,58
NAU,core_plus_validation,80,2005,58,58
ESAF,core_ghcnd_ecad,80,2005,0,0
ESAF,core_plus_validation,80,2005,0,0
SEA,core_ghcnd_ecad,80,2005,8,8
SEA,core_plus_validation,80,2005,8,8
ESB,core_ghcnd_ecad,80,2005,39,39
ESB,core_plus_validation,80,2005,39,39
EEU,core_ghcnd_ecad,80,2005,16,16
EEU,core_plus_validation,80,2005,16,16
WSAF,core_ghcnd_ecad,80,2005,0,0
WSAF,core_plus_validation,80,2005,0,0
WSB,core_ghcnd_ecad,80,2005,17,17
WSB,core_plus_validation,80,2005,17,17
NSA,core_ghcnd_ecad,80,2005,0,0
NSA,core_plus_validation,80,2005,0,0
CAR,core_ghcnd_ecad,80,2005,12,12
CAR,core_plus_validation,80,2005,12,12
SWS,core_ghcnd_ecad,80,2005,21,22
SWS,core_plus_validation,80,2005,21,22
SAM,core_ghcnd_ecad,80,2005,0,0
SAM,core_plus_validation,80,2005,0,0
RFE,core_ghcnd_ecad,80,2005,37,37
RFE,core_plus_validation,80,2005,37,37
SAH,core_ghcnd_ecad,80,2005,29,56
SAH,core_plus_validation,80,2005,29,56
GIC,core_ghcnd_ecad,80,2005,4,6
GIC,core_plus_validation,80,2005,4,6
NZ,core_ghcnd_ecad,80,2005,0,0
NZ,core_plus_validation,80,2005,0,0
RAR,core_ghcnd_ecad,80,2005,29,29
RAR,core_plus_validation,80,2005,29,29
TIB,core_ghcnd_ecad,80,2005,0,0
TIB,core_plus_validation,80,2005,0,0
ECA,core_ghcnd_ecad,80,2005,0,0
ECA,core_plus_validation,80,2005,0,0
ARP,core_ghcnd_ecad,80,2005,0,0
ARP,core_plus_validation,80,2005,0,0
WAF,core_ghcnd_ecad,80,2005,0,0
WAF,core_plus_validation,80,2005,0,0
CAF,core_ghcnd_ecad,80,2005,0,0
CAF,core_plus_validation,80,2005,0,0
EAN,core_ghcnd_ecad,80,2005,0,0
EAN,core_plus_validation,80,2005,0,0
SEAF,core_ghcnd_ecad,80,2005,0,0
SEAF,core_plus_validation,80,2005,0,0
NEAF,core_ghcnd_ecad,80,2005,0,0
NEAF,core_plus_validation,80,2005,0,0
SSA,core_ghcnd_ecad,80,2005,2,2
SSA,core_plus_validation,80,2005,2,2
WAN,core_ghcnd_ecad,80,2005,2,2
WAN,core_plus_validation,80,2005,2,2
MDG,core_ghcnd_ecad,80,2005,0,0
MDG,core_plus_validation,80,2005,0,0
ENA,core_ghcnd_ecad,95,2005,522,522
ENA,core_plus_validation,95,2005,522,522
CNA,core_ghcnd_ecad,95,2005,438,438
CNA,core_plus_validation,95,2005,438,438
WNA,core_ghcnd_ecad,95,2005,975,975
WNA,core_plus_validation,95,2005,975,975
WCE,core_ghcnd_ecad,95,2005,4493,6043
WCE,core_plus_validation,95,2005,4493,6043
NEU,core_ghcnd_ecad,95,2005,2355,3013
NEU,core_plus_validation,95,2005,2355,3013
NWS,core_ghcnd_ecad,95,2005,0,0
NWS,core_plus_validation,95,2005,0,0
NCA,core_ghcnd_ecad,95,2005,71,71
NCA,core_plus_validation,95,2005,71,71
NWN,core_ghcnd_ecad,95,2005,91,91
NWN,core_plus_validation,95,2005,91,91
SAU,core_ghcnd_ecad,95,2005,351,351
SAU,core_plus_validation,95,2005,351,351
MED,core_ghcnd_ecad,95,2005,328,447
MED,core_plus_validation,95,2005,328,447
EAS,core_ghcnd_ecad,95,2005,58,58
EAS,core_plus_validation,95,2005,58,58
EAU,core_ghcnd_ecad,95,2005,241,241
EAU,core_plus_validation,95,2005,241,241
SES,core_ghcnd_ecad,95,2005,1,1
SES,core_plus_validation,95,2005,1,1
NES,core_ghcnd_ecad,95,2005,1,1
NES,core_plus_validation,95,2005,1,1
SAS,core_ghcnd_ecad,95,2005,0,0
SAS,core_plus_validation,95,2005,0,0
NEN,core_ghcnd_ecad,95,2005,14,14
NEN,core_plus_validation,95,2005,14,14
SCA,core_ghcnd_ecad,95,2005,0,0
SCA,core_plus_validation,95,2005,0,0
CAU,core_ghcnd_ecad,95,2005,27,27
CAU,core_plus_validation,95,2005,27,27
WCA,core_ghcnd_ecad,95,2005,7,7
WCA,core_plus_validation,95,2005,7,7
NAU,core_ghcnd_ecad,95,2005,16,16
NAU,core_plus_validation,95,2005,16,16
ESAF,core_ghcnd_ecad,95,2005,0,0
ESAF,core_plus_validation,95,2005,0,0
SEA,core_ghcnd_ecad,95,2005,0,0
SEA,core_plus_validation,95,2005,0,0
ESB,core_ghcnd_ecad,95,2005,0,0
ESB,core_plus_validation,95,2005,0,0
EEU,core_ghcnd_ecad,95,2005,0,0
EEU,core_plus_validation,95,2005,0,0
WSAF,core_ghcnd_ecad,95,2005,0,0
WSAF,core_plus_validation,95,2005,0,0
WSB,core_ghcnd_ecad,95,2005,0,0
WSB,core_plus_validation,95,2005,0,0
NSA,core_ghcnd_ecad,95,2005,0,0
NSA,core_plus_validation,95,2005,0,0
CAR,core_ghcnd_ecad,95,2005,4,4
CAR,core_plus_validation,95,2005,4,4
SWS,core_ghcnd_ecad,95,2005,18,18
SWS,core_plus_validation,95,2005,18,18
SAM,core_ghcnd_ecad,95,2005,0,0
SAM,core_plus_validation,95,2005,0,0
RFE,core_ghcnd_ecad,95,2005,0,0
RFE,core_plus_validation,95,2005,0,0
SAH,core_ghcnd_ecad,95,2005,17,21
SAH,core_plus_validation,95,2005,17,21
GIC,core_ghcnd_ecad,95,2005,4,4
GIC,core_plus_validation,95,2005,4,4
NZ,core_ghcnd_ecad,95,2005,0,0
NZ,core_plus_validation,95,2005,0,0
RAR,core_ghcnd_ecad,95,2005,0,0
RAR,core_plus_validation,95,2005,0,0
TIB,core_ghcnd_ecad,95,2005,0,0
TIB,core_plus_validation,95,2005,0,0
ECA,core_ghcnd_ecad,95,2005,0,0
ECA,core_plus_validation,95,2005,0,0
ARP,core_ghcnd_ecad,95,2005,0,0
ARP,core_plus_validation,95,2005,0,0
WAF,core_ghcnd_ecad,95,2005,0,0
WAF,core_plus_validation,95,2005,0,0
CAF,core_ghcnd_ecad,95,2005,0,0
CAF,core_plus_validation,95,2005,0,0
EAN,core_ghcnd_ecad,95,2005,0,0
EAN,core_plus_validation,95,2005,0,0
SEAF,core_ghcnd_ecad,95,2005,0,0
SEAF,core_plus_validation,95,2005,0,0
NEAF,core_ghcnd_ecad,95,2005,0,0
NEAF,core_plus_validation,95,2005,0,0
SSA,core_ghcnd_ecad,95,2005,2,2
SSA,core_plus_validation,95,2005,2,2
WAN,core_ghcnd_ecad,95,2005,2,2
WAN,core_plus_validation,95,2005,2,2
MDG,core_ghcnd_ecad,95,2005,0,0
MDG,core_plus_validation,95,2005,0,0
